Русское слово,Ительменское слово
березовый сок,iʔmeməm сущ
берёзы,ič'al сущ
березы заросли,kilxal сущ
березы луб,iwk' сущ
беременной быть,fɬ- неп
береста,ənk'sx сущ
берестяная корзина,ač'al сущ
берестяной сосуд четырехугольный,akinsx сущ
берестяной туес для молока,krenkejoɬxən сущ
гольной формы,sxzemx сущ
беречь,ŋiti- п1
беречься,inju- неп
берлога,noč сущ
бес,χeqe сущ
беседа,krweɬxatas сущ
беседовать,krweɬxet- неп
беситься,d'ekowaʔɬ- неп
беспокоить,inmisin- неп
беспокоиться,krurew- неп; kəʔŋɬ- п1; nitasxen- неп
беспорядочный,čiŋuqelaχ прил
беспутный,ɬapxač'eraŋ сущ
бесхвостый,aŋojk'a сущ
библиотека,biblioteka сущ
библиотекарь,bibliotekar сущ tala- п1; talazo- п1; talat- п1; tpəlzo- п1; tpəll- п1; txɬ- п1; uzilet- п1; enatala- неп с.
бить в бубен,jajarčo- неп
бить за непослушание,xuxula- п1
бить прутом,fizwaɬče- неп
бить сильно,txɬzo- п1
битьем,netɬqeʔɬ- неп
благодарить,qeč'eɬe- п1; qeč'eɬeʔɬ- п1
благодарность,qeč'eɬnom сущ
благодать,melmel сущ
благославленный,k'alwaʼan прил; k'alwaʔan прил
благославлять,aŋja- п1
бледнеть,əmtx- неп
бледный,atxlaχ прил
блеск,eɬwerčom сущ
блестеть,atxk'za- неп; ilemzaq'ɬ- неп; iɬwirču- неп
блестящий,k'eɬwerčoʔan прил
ближе,tmalke нареч
ближний,tmalʔan прил
близкий,tmallaχ прил; tmalʔan прил
близко,tmalk нареч; tmal нареч
блоха,lqpχaj сущ
блудить,č'afkra- неп
блудница,č'afkram сущ
блуждать,čxilli- неп; čxillit- неп
икры,qəmteq сущ
картофеля,aofq сущ
тюленьим жиром,kilekil сущ
больница,əŋqsxeʔɬnom сущ
больно,jox межд; kɬəŋqsxi нареч
больной,əŋqsχlaχ прил
Большая Медведица,anazʔan ŋezzeʔɲč сущ; Ӄaɲčsχ сущ
большая муха,kumisx сущ
Большерецк,Кixsяj Ю. собств
большое село,titqs сущ
большой,ʷplaχ прил; χopt прил;
блюдо из толченой свежей,esqčkin прил
запеченное в печи,xʎep сущ
большой бык,lamŋa сущ
большой каменный круг,sonzalx сущ
большой палец,asolŋəŋ сущ с.; ʷpneŋaʔn сущ; silqsilq сущ timkč сущ
блюдце,bʎut͡sen сущ
бог,bogačχ сущ; nustaxčaχ сущ
богаство,amelken сущ
богато,neksama нареч
богатство,aknos сущ
богатый,naknoqen прил; neksamin прил
богач,naknoqen сущ
бодрый,tχiwlaχ прил
бой,lot'ɬxenom сущ
бок,ankalwas сущ; ʷkasoŋ сущ
мужского капора,xʔawəm сущ
боковой камус зимней обуви,kaseŋʔan сущ
боковые камусы зимней обуви,ksoʔn сущ
болезнь,əŋqsxnom сущ
болеть,istwe- неп; əŋqsx- неп
болото,q'imtq' сущ
болтать,krweɬxet- неп
болтаться,t'enŋat- неп
боль,əŋqsx сущ
боль в боку,ankalwas сущ
большой сибирский гуменник,fenes сущ
большой спинной плавник рыбы,tənzasχ сущ
борода,luʔwəl сущ
бородой обрасти,luʔwilti- неп
бороться,ʷɬiti- неп
борщевик,katx сущ
ботало,d'iŋʎiŋʎačχ сущ
ботинки,botinkaʔn сущ
бочка,bočkaʔ сущ
боярышник,kəllasnom сущ
боярышника заросли,kəllasnal сущ
бояться,ijakeʔɬ- неп; xte- п1
браковать,eqel- п1
брат,"qitkineŋ сущ; sillatumx сущ; tiя сущ В., Ю."
брат старший,aʎa сущ
брать,ɬ- п1; ɬit- п1; exɬat- п1
брать в плен,ɬintskawel- п1
брать взаймы,qaŋɬat- п1
брать двумя горстями,pklelsxen- неп
брать клятву,ɬonaɬo- п1
брать с собой еду,sisxeŋɬ- неп
брать что-либо взаймы,qaŋɬə- п1
бревно,brewnoʔ сущ; uʔ сущ
бредить,sel- неп
брезжить,ɬŋunu- неп
бригада,brigada сущ
брить,ənmi- п1
брови,tilteʔn сущ
бровь,təltəl сущ
бродить,ansč'a- неп; apsč'at- неп; seʔl- неп
бродить по реке,tiwʎat- неп
бродить по снегу,apsč'at- неп
бродни,brotneʔn сущ; iwlsχeʔn сущ
бродяга,č'ixilereŋ сущ
бросать,inoms- неп; paxčo- п1; paxčozo- п1; tkil- п1; tkillet- п1; tkit- п1; tkəl- п1 с.; tketzo- п1
бросаться,pens- неп; penset- неп
брус,mek'ɬxən сущ
временного летнего шалаша,k'awʔuč сущ
брусника,ʷčeɬxčeɬx сущ
брусок точильный,pnawŏm сущ
брызгать,ipstu- п1; ipstuʔɬ- неп
брызгаться,ipɬqeʔɬ- неп; ipstuʔɬ- неп
брызги,ipstuʔn сущ
брыкаться,qepɬko- п1
брюки,quwa сущ
брюхо вспарывать,nanqajp- п1
брючный ремень,sit сущ
брюшко рыбье,k'ink'in сущ
бубен,jajar сущ
бубен бить,jajarčo- неп
бубенчики для собак,xirwirwečχ сущ
бугор,eskp сущ
будить,nəsxleʔɬ- неп; ənsxɬi- п1; ənsxɬit- п1; ənsxɬezo- п1
бузины заросли,pukkal сущ
букашка,bukiska сущ
буква,bukwaʔ сущ
букварь,bukwar' сущ
булка,bulkaʔ сущ
бульон,aɬes сущ с.; emk' сущ
бумага,bumagaʔ сущ
бумажный,bumaʐnoj прил
буран,fjal сущ
бурчать,ɬeruŋ- неп
буря,fjal сущ
бусы,kəʎʎaʔɲč сущ
бутылка,butilkaʔ сущ
бык,ʷkič'e сущ
бык большой,lamŋa сущ
быстро,ziwa нареч; niqa нареч с.; ničχalq нареч; xʎoska нареч
быстро нестись,č'etxla- неп
быстро погружать,insimpɬ- неп
быстро течь,fseʔɬ- неп
быстрый,bɨstroj прил; nikelaχ прил; nipweqin прил с.
быть,iɬ- п1; it- неп; itkeʔɬ- неп; ɬ- неп; til- п2
быть беременной,fɬ- неп
быть в наличии,či- неп
быть забывчивым,netxwaʔɬ- неп
быть завлеченным,kəmŋa- неп
быть колючим,intxəleʔɬ- неп
быть надоедливым,nemč'k'eleʔɬ- неп
быть не в состоянии,utu- неп
быть победителем,anəɲčxčaʔɬ- неп
быть помощником,inənk'zuʔɬ- неп
быть растяпой,nikɬfaʔɬ- неп
быть с кем-то совместно,č'eʔɬ- п1
быть чувствительным,ənzleʔɬ- неп
в,čəsk нареч; čəske нареч
в воде растворять,əntewelet- п1
в дорогу собираться,sisxeŋɬ- неп
в лес,zenkoŋ нареч с.; senke нареч
в лесочек,seɲčke нареч
в лесу,sink нареч
"в лесу, в лес",zin- А
"в лесу, в лес, из леса, лесной",sin- А
в одиночестве,ɲaačiɬ нареч
в одиночку,fiɲɲatɬ мест
в позапрошлом году,t'aɬanank нареч; xiʔixltu нареч
в последний раз,posʎetɲoj нареч
в прошлом году,ixɬtu нареч
в середине,kӑnnenk нареч
в середину,kӑnnenke нареч
в центре,kӑnnenk нареч
в центру,kӑnnenke нареч
важный,waʐnoj прил
валенки,waʎenkaʔn сущ
валить,əntɬki- п1; əntɬkist- п1
вальдшнеп,saknom сущ
валяет дурака,aŋqansχlaχ прил
валять дурака,aŋqansxen- неп; lokaweʔɬ- неп
варежки,liʔl сущ
вареная рыба,p'axp'aŋ сущ
"вареная, чуть подвяленная рыба",sewaʔn сущ
варженка (деталь нарты),warʐin сущ
варить,kokazo- п1 с.; kuke- п1
варить немного,kokala- неп
варить постоянно,kokazo- неп
или в большом количестве,kokazo- п1
вас,tuzaʔn мест
вата,lopčotəm сущ
вбивать,əmpɬi- п1
вброд,ɬalaŋ нареч
вверх,wančk нареч с.; xanke нареч; xaɲčke нареч
разделки,ktskiɬ нареч
вверх поднимать,ənsxu- п1
вверху,wank нареч с.; xank нареч
вверху (по течению),waɲčk нареч с.; xaɲčk нареч
ввести,tewata- п2
вводить,ɬinč'eŋ- п1; ʷti- п2
вдалеке,meč'ak нареч; t'aɬk нареч
вдевать нитку в иголку,sča- п1
вдоволь,"amamʔjoq нареч; mejim, mejeŋ нареч; əmptowa нареч"
вдребезги,ənk'olsxen- п1
вдруг,xorowal нареч
ведро,wedro сущ; eʔjoɬxen сущ
ведь,imt межд
вежливый,weʐliwoj прил
везде,wezdeʔ нареч
веко,lalpsnoŋ сущ
велеть,iti- п1; lawata- п2
великан,leč'iχ сущ
великий,ʷplaχ прил
величина,pəlwərwən сущ
вена,tjotjəm сущ
веник,malenəŋ сущ
вера,ɬmaɬes сущ
веревка,liɬč сущ; fӑsχt сущ
веревка бата лодки,tupusin сущ
верить вэрит,iɬ- п1; ɬmaɬu iɬ- п1
верно,liɬi нареч; čŋiɬ нареч
вернуться,ilwizi- неп
верный,kliɬʔin прил
вероятно,qej нареч
вертеть,ənk'ele- п1
вертеться,k'ili- неп
вертикально ставить,əntχzuʔɬ- п1
вертолёт,wertoʎot сущ
верующий,kɬmaɬʔan прил
Верхнее Хайрюзово,ʷПlaχaʔn собств
верхний,xanʔan прил
крывающая темень,kzixč сущ
верхом,xanzozwa нареч
верхушка дерева,oɬxen сущ
вершина,oɬxen сущ
вершина дерева,čkaɬxən сущ
"вершина сопки, горы",ktxeɬxən сущ
веселить,ənxajmaŋto- п1
веселиться,wajmaŋto- неп с.; xajmaŋto- неп
весело,wajma нареч; nwajma- нареч с.
весёлый,wesoloj прил
весло,apč'k'əl сущ; tejmenŏŋ сущ
веслом грести,tejme- неп
весна,kaxtan сущ
весной,anok нареч
вести,ɬekɬalew- п1
вести кого-либо,ənsaɬt- п1
вести холостой образ жизни,χoʎat- неп
вестник,ampelaʔɬkaɬχ сущ
весть,ampelanom сущ
весь,wes сущ; miɬ сущ; tuti нареч
ветер,spəl сущ
ветер к заморозку,xiwəs сущ
ветер курильский,nineʔ сущ
ветер усиливается,qep- неп
ветер южный,rirwun сущ
ветеринар,weterinar сущ
ветка,sŋak сущ
ветла,kitxɬ сущ; kitxɬ сущ
ветхий,utxlaχ прил
ветхо,utxq нареч
веха,ilileč сущ; keŋč сущ
вечер,txunkəm сущ
вечерний ветер к заморозку,xiwəs сущ
вечерный,txunʔin прил
вечно,wečno нареч; kəɲčpaɬ нареч; quʔneŋeʔn нареч
вечный,kəɲčpaɬən прил; quʔneŋelaχ прил; quʔneŋeʔin прил
вешала,ŋelpeʔn сущ
вешалка,wesalkaʔ сущ
вешалка для рыбы,wesalkalŋin сущ
вешалка-крючок для сети,č'əmkečχ сущ
вешать,ənt'enŋa- п1; ənt'eŋat- п1
взади,zalk нареч
взаймы,wzajmaʔ нареч
взаймы брать,qaŋɬat- п1; qaŋɬə- п1
взбираться,efs- неп
вздуть,nepajsa- п1
взрослый медведь-самец,jaŋsalan сущ
взять,zu- п2
взять в рот (пищу),ačple- неп
взять двумя горстями,pklel- п2
вид крохаля,iwris сущ
вид повседневной обуви,aɬeʔn сущ
вид толкуши,č'rutx сущ
вид травы,zwosx сущ; sxom сущ
видеть,ɬčku- п1; əʎčku- п1 с.; əɬčku- п1
видеть сон,retla- неп
видимый,tepəlaχ прил; tepəl le- неп
визгливо смеяться,č'exrota- неп
вилка,č'omqečχ сущ
вилы,neŋeʔɬnom сущ
висеть,t'enŋe- неп; t'enŋat- неп
висок,t'izimč сущ
вить,ənkawral- п1
вкусно есть,čχamɬ- неп
вкусно очень,kɬč'eweze нареч
вкусный,č'ewezlaχ прил
влагалище,fansx сущ
влажный,čqlaχ прил; eʎweʎaχ прил с.
власть,q'efq'ef сущ
влево,sič'eŋanke нареч
влево (команда собакам),xuwe межд
влезать,č'e- неп
вместе,iwu- неп; kč'eʔɬʔin; omakaŋ нареч; omokom нареч с.
вмещать,č'e- неп
вмещаться,əzwa- неп
внести,tewata- п2
внешне,kalfsk нареч
вниз,tnŭm- А; tnŭmke нареч
вниз (по течению),ijank нареч
вниз по течению,fi- неп; ejanke нареч
внизу,tnŭm- А; tnŭmk нареч
внизу (по течению),ijank нареч
ю.;,ijank нареч
вносить,ʷti- п2; tet- п1
внук,kӑmlon сущ
внутри,čəsk нареч
внутрь,čəske нареч
внучка,kӑmlon сущ
вода,iʔ сущ
"вода, выступающая поверх льда",eʔrumʔerum сущ
водить,ɬekɬalew- п1; ɬenɬalezoŋ- п1
водичка,iʔaxčaχ сущ
водка,iʔaxčaχ сущ
водой обдать,ača- п1
водопад,xollolač сущ
воду набирать,tŋəlet- п1
воду черпать,tŋil- неп
воды в рот набирать,iʔnum- неп
воды глоток,iʔnum сущ
воды таскать,ikənsfɬ- неп
водянка (болезнь),iʔeqen сущ
водяной,zofsx сущ; ksχzoʔas сущ
водяной чумок,atslaŋ сущ
воевать,lut'ɬxe- неп
вожделение,č'afkranom сущ
возвещать,ampelaʔɬ- неп
возвратное местоимение,uwik сущ
возвращать,tilwizi- п1; tilwizit- п1
возвращаться,ilwizi- неп; ilwizist- неп; ilwizit- неп; əlizi- неп с.
возвращаться домой,rajt- неп
возвышать,najasow- п1
возвышаться,assa- неп
возвышение,assanom сущ; efsnom сущ
возвышенное место,efsnom сущ
возвышенность,eskp сущ
возглас облегчения,efufe межд
возглас шамана,iʂki част
воздух,fčifč сущ
возить,ɬenɬalezoŋ- п1; nəntxlaʔɬ- неп; timpɬ- п1; timpɬet- п1; əntxla- п2; əntxlat- п2
возить дрова,ŋil- неп; ŋinsxeʔɬ- неп; ŋelxsɬ- неп
возле,olla предл
возлюбленный,klfteʔan; χelulan сущ
возможно,ettun межд
вознаграждение,iɲčzum сущ
возражать,ilk'est- неп
возьми,tle межд
война,lot'ɬxenom сущ
волгнуть,ilewe- неп
волк,xiwne сущ
волна,mumwum сущ
волноваться,waleʔɬ- неп; krurew- неп; nitasxen- неп
волны,walaʔn сущ
волокна крапивы,stunsx сущ
волокно,tɬwal сущ
волос человеческий,k'imk'im сущ
волосами обрастать,etɬxte- неп
волочить,stil- п1
волчок,tənk'el сущ
воображать,qamzaʔɲɬ- неп
"вообще, так",kiɬwi нареч
вопить,čxča- неп
вопить дурным голосом,ritwiriwu- неп
воровать,aɲčxčaŋ- неп
воровать (о животных),k'ekwiʔɬ- неп
ворон,χeʔq'ɬx сущ
ворон старый,feʔaqɬχ сущ
ворона,ʷqlaqɬχ сущ
"воротник бобровый, соболиный",axanom Ю. сущ
ворочаться,čuxɬ- неп; č'uwiʔɬ- неп
ворчать,ɬeruŋ- неп
воскресенье,woskrеsеn'е сущ; ezlenom сущ
воспитывать,txəʔɲɬ- п1
воспоминание,txeɬnom сущ
восстание,tekejnom сущ
восток,atxsanŏm сущ
восточный,atxsanoʔan прил
восточный язык,burin сущ
вот,nux мест; nux нареч
вот неудача!,qetewʔin межд
вот скоро,xaɬč нареч
вот уж,qaʔtʔin нареч
вошь,fač'ik сущ
вперед,kɬfəɲčke нареч
вперед пронести,ənpeskoz- п1
впереди,kɬfəɲčk нареч
вплести,tχz- п1
впрок запасать,ənkaŋɬat- п1
впрочем,kəʔmxaɬ союз
враг,χaqelan сущ
вредить,aɲčxčaŋ- неп; ɬisxepi- неп
вредничать,ɬiweklin- неп; ɬisxepi- неп
временная сушилка,itewom сущ
время,wreme сущ; inxt сущ; xaɬč нареч; etkuɬ сущ В.
все,tuti нареч
все время,wod'eren нареч
все же,ewun нареч
все равно,ewun нареч
всегда,wod'eren нареч с.; wečno нареч; quʔneŋeʔn нареч
всей гурьбой,quɲeŋ нареч
вселенная,atxʔatx сущ; mslelŋən сущ
всемирный,atxʔatxčan прил
всесильный,kɬq'ewaŋaʔn прил
все-таки,ewun нареч
вскармливать,txəʔɲɬ- п1
вскрик,učučux межд; eqeqe межд
вскрывать,əmp'q'a- п1
вскрываться,əlp- неп
вслед,salk нареч
вслух,tepəl нареч
всовывать внутрь,teɬet- п1
всплеск рыбы,injinom сущ
всплескивать,ipəɬqe- неп
всплывать на поверхность,ija- неп
вспоминать,ɬnita- п1; txiɬet- п2; enxzo- п1
вспоминая прошлое,imsq'eʔɬki нареч
вспомнить,txiɬ- п2
вспрывать брюхо,nanqajp- п1
вспыльчивый,qeqč'ulaχ прил
вставать,ŋelp- неп; tat- неп; tekej- неп
вставать дыбом,səŋra- неп
вставка в рукавице,kinenlit'in сущ; č'irewenəŋ сущ
вставлять,teɬ- п1
встать помочь,əntkeʔɬ- п1
встречать,inf- п2; jawna- п1 с.; čawa- п2
встречать кого-либо,jowa- п1
встречаться,jawna- неп с.; luwne- неп
всходить,isxu- неп; es- неп
всякий,ʎeɲiɬʔan прил; mniɬʔan мест; fsakoj прил
имущество,warnaʔn сущ
вталкивать,ʷti- п1
втаскивать,ʷti- п2; tet- п1
вторник,wtornik сущ
второй,t'ilŋin прил
второпях,amsaneq нареч
второпях сварить,ənfajwazo- п1
втыкать,əmpɬi- п1; ənsxpɬ- п1
вулкан,aigiteskik сущ Ю.; apagačuč' сущ В.; wijakazač сущ Ю.; paakčix сущ Ю.
вход,č'enom сущ
вход в запор,xč'es сущ
входить,č'e- неп; č'et- п1; č'etit- неп
вчера,ačiɲčk нареч; fčora нареч
вчерашний,ačiɲč'an прил
вшей искать,iɲɬ- п1
вы,tuzaʔn мест
вы сами,tzilwin мест
выбивать пыль,tpəlzot- п1
выбиваться из сил,wat- неп; watsxen- неп
выбирать,inčil- п2; inčileʔɬ- неп; čil- п2; čilit- п2
выборы,wɨboraʔn сущ
выбрасывать,tkil- п1; tkillet- п1; tketzo- п1; ənt'leʔɬ- п1; ənxərke- п1
выбрать,čelata- п2
вываливаться,kɬf- неп
выветриться,sqaso- неп
вывихнуть,lopləmzo- п1; lopləmzotə- п1
выворачивать наизнанку,tl- п1; tlet- п1
выглядывать,tənza- неп; tənzat- неп
выговаривать слова,əllat- п1
выгонять,ajtat- п1; ajtatet- п1
выгонять комаров из дома,oropla- п1
выгорать,atxsat- неп
выгружать,əmp- п1
выгружать(ся),niŋiʔɬ- неп
выдавать замуж,ɬinqamzant- п1
выдать,lawata- п2
выделанная оленья кожа,č'iraqəl сущ
выделение из ушей,aʔlot сущ
выделения глазные,əɬč'erwaʔn сущ
выделкой шкур заниматься,ʷnaɬeʔɬ- неп
выделывать шкуру,naɬ- п1; pl- п1; pleʔɬ- неп
выделяться,ɬwaɬte- неп
выдерживать,č'laʔ- п1
выдра,widreʔ сущ; ŋeɬeŋɬx сущ; əɲɬiŋ сущ с.
выдумывать,ʷk'enezi- п1; txiɬet- п2
выздоравливать,qečisi- неп; qečisit- неп; mele- неп
выздороветь,xsozale- неп
вызывать,oč'- п1
на откровенность,ɬinpanenajpa- п1
вызывающий жажду,ik'sxulaχ прил
выигрывать,inewete- неп; inewetet- неп; əɲčxča- п1
выколачивать,tpəlzot- п1
выкоывать,txɬet- п1
выкрасить в красное,əɲč'ač'ala- п1
выкройка,anmanom сущ; ɬelenŏm сущ
вылезать,es- неп
вылечить,ənmel- п1
выливать,ins- п1
вылизывать,tomet- п1; č'mil- п1
вымазаться,anza- неп
вымазываться многократно,anzazo- неп
выметать,mali- п1
вымокнуть в воде,txane- неп
вымыть,ləm- п1
вынимать,əntxs- п1; əntxsit- п1
выносить,tiŋ- п1
выносить наружу,tin- п1
вынырнуть,ija- неп
выпадать,kɬf- неп; leʔlemti- неп
выпачкать,anza- п1
выпачкаться,anza- неп
выплевывать,iɬxeɲčke- п1
выполнять,sk- п1
выправлять вывихнутый сустав,anzwa- п1
выпрыгивать,twajt- неп
выпрямлять,ənwetwaw- п1
выпрямляться,wetwet- неп
выпускать,ənksi- п1; ənqsit- п1
выработать,wetat- п1
выравнивать,ənwetwaw- п1
вырастать,esχte- неп
выращивать,ənsχt- п1
вырываться,qsi- неп
высаживаться,enese- неп
высасывать кровь,č'isxuŋ- п1
высекать огонь,eʔŋlet- неп
выслеживать,ɬinɬkze- п1; ɬiɲɬkz- п1
высматриваться,ɬčkust- п1
высмеивать,ɬiŋweju iɬ- п1; ɬiŋ iɬ- п1
высокий,aslaχ прил
высокий берег,iʔɲɬəm сущ
высоко,asq нареч
высокое место,asʔas сущ
обзором,twestewnom сущ
высота,asaran сущ; aswarwan сущ; asʔas сущ
выспаться,nepelxo- неп
выставка,wɨstawkaʔ сущ
выставлять,tin- п1
выстрелить,əɲčqa- п1
высушенные стебли,katx сущ
высыпать,ins- п1; əɲčxeŋ- п1
высыпаться,itne- неп; čxiŋ- неп
высыхать,k'isxɬet- неп
высыхать сильно,k'isxɬni- неп
вытапливать жир,fč'ez- п1
вытапливаться,in- неп
вытаскивать,txuŋ- п1 ю.; tin- п1; ənts- п1 с.; əntxs- п1; əntxsit- п1
выташнивать,wolwos- п1
вытворять,č'el- п2
вытекать,es- неп
вытирать,anɬxaɬ- неп; ɬxa- п1; ɬxazo- п1; ɬxat- п1
вытираться,ɬxazo- неп
вытопки жира,fč'es сущ
вытряхивать,ɬintple- п1; ɬintplet- п1; ɬentplezo- п1
выть,awla- неп
вытягивать,txuŋ- неп ю.; txuŋet- п1
вытягиваться,sxoŋ- неп
вытянуть руки,ənamčetə- п1
вытянуться,pla- неп; χamtzi- неп
выхватывать,pxakɬ- неп
выход,χomstnŏm сущ
выходить,χumst- неп; es- неп
выходить замуж,qamzante- неп; qamzantet- неп
выходить из себя,χaqanʔe- неп; χaqeni- неп с.
выходить многократно,xomstat- неп
выходить на берег,ip- неп; ipit- неп
выходить на лед,eʔrma- неп
выходить на поверхность,esat- неп
выходить навстречу,čawa- п2
выходить наружу,xomstat- неп
выцветать,atx- неп; atxsat- неп
выше,xaɲčke нареч
вышивать,waŋe- п1; waŋeʔɬ- неп
вышивка,waŋeč сущ
вышивкой украшать,waŋe- п1; waŋeʔɬ- неп
вьюга,fjal сущ
вьюк,koremt сущ
вязание сетей,xilχč сущ
вязанка дров,omtsx сущ
вязанки вязать,omtat- п1
вязать,omtsxene- п1
вязать несколько вязанок,omtat- п1
вязать сеть,ilwil- п1
вязка вяленой лососевой икры,intχzesχ сущ
вязка гольцов,nezesx сущ
вязок (деталь нарты),qulxum сущ
вяленая рыба,notan сущ
вяленое мясо,patol сущ
вялить,ənk'izwi- п1; ənk'izwit- п1
вянуть,int'q'ɬ- неп; k'isxɬ- неп
гагара,jowaj сущ; qaqaqre сущ; uwiq сущ
газ,gaz сущ
газета,gazеtaʔ сущ
галдеть,čxča- неп
галопом скакать,χisi- неп
гасить,noʔŋqaʔɬ- п1
гаснуть,ɬfet- неп; oŋq- неп; oŋqsxen- неп
где,maʔ мест
геолог,gеolog сущ
гибнуть,iza- неп
гимн,gimn сущ
глава,ɬnes сущ
гладить,alat- п1; pilk'at- п1
гладить утюгом,gladeʔɬ- неп
гладкий,iɬχlaχ прил
гладко,iɬχq нареч; pslaŋsq нареч
глаз,loŋ сущ; ʎaŋočχ сущ
глаза,luʔl сущ
глазные выделения,əɬč'erwaʔn сущ
глас,kelkel сущ
гласный,glasnoj прил
глотать,nəmt'l- п1; nəfəlk'a- неп; tχlete- п1
глотать жадно,ənfilk'a- п1
глотать с жадностью,nəfəlk'a- неп
глоток воды,iʔnum сущ
глохнуть,iluketə- неп
глубина,amwarwan сущ; ʷamʔam сущ
глубокий,ʷam- А; ʷamlaχ прил
глубоко,ʷam- А; ʷamq нареч
глубокое место,ʷamʔam сущ
глупец,wəlpu сущ
глухарь,aloqɬč'əm сущ; ʷkŭnxt сущ; kənfs сущ
глухой,aloqɬč'əm сущ
гнать,ajtat- п1
гнать рыбу в запор,imzateʔɬe- п1
гнаться,čanzo- п1
гнев,χaqanwarwan сущ; χeqewjep сущ
гнездиться,aʔasx- неп
гнездо,ʷaʔasx сущ
гнида,xunwun сущ
гнить,suq- неп; suqet- неп; t'ɬa- неп
гноиться,ŋilkti- неп; sk'alte- неп
гной,ŋilkŋilk сущ; sk'al сущ
гнойник,sk'alemč сущ
гнус,čemejke сущ
гнуть,ʷnaɬ- п1
гнуться,ʷnaɬ- неп
говорить,anla- неп; krweɬxet- неп; la- п2; ɬo- п1; χene- неп
говорить во сне,sel- неп
говорить серьезно,ənʔi- п1
гоголи,ngukunguku сущ
год,god сущ
годный,qečiɬan прил
голенище торбаса,sχniŋ сущ
голец,wiɬik'ečχ сущ с.; wəɬč сущ с.; sistxil сущ; fačq сущ; fiɬik' сущ; fɬič сущ
голец запеченный,čuperk'e сущ
голец мелкий,ket'il сущ
голова,ktxiŋ сущ; kəmt'qol сущ с.; čaqol сущ
голова рыбы,lič сущ с.; xewlič сущ
головешка,sitɬx сущ
головки торбазов,t'ozmaʔn сущ
головной мозг,aʔjuwʔaj сущ
головы часть,čaqolt'əl сущ
голод,pilwepil сущ
голодать,ksxlit- неп; pilwit- неп
голодающий,pilwepilʔan сущ
голодное место,ksxlətnom сущ
голодный,ksxlət'in прил
голос,golos сущ
голубика,liŋil сущ; leŋelnom сущ
гольчик,fiɬikečχ сущ
гоняться,ančanzoʔɬ- неп
гора,namud сущ Ю.; ŋejŋe сущ
горбиться,izuse- неп; qewčeʔɬ- неп; pesčkɬ- неп; txap- неп
