слово,диалект,фонетический вариант,северный диалектный вариант,часть речи,грамматические пометы,инфинитив,множественное число,общее число,толкование,ссылка,,,,,,
амсанэӄ,,,,наречие,,,,,"второпях, кое-как, наскоро, не вовремя, с опозданием",,,,,,,
амтоʔаԓ-,,,,глагол,переходный2,амтоʔаԓкас,,,приветствовать,,,,,,,
амчӄэвалаӈ,,,,существительное,,,амчӄэвалаʔн,,специальная доска для обработки кипрея; делается по форме стебля кипрея,,,,,,,
амэлвэлвэн,,,,существительное,,,,,"множество, обилие",,,,,,,
амэлкэн,,,,существительное,,,,,богаство,,,,,,,
амэԓаӈ,,,,наречие,,,,,"незаметно, скрытно, тайком",,,,,,,
амэԓаӈлаӽ,,,,прилагательное,,,,,"скрытный, тайный",,,,,,,
амэԓас,,,,существительное,,,амэԓазэʔн,,"тайна, секрет",,,,,,,
амэԓат-,,,,глагол,непереходный,амэԓаткас,,,"исчезать, скрываться (из поля зрения), скрываться из глаз (уходя в лесу, за кустами)",амэԓатат-,,,,,,
амэсат-,,,,глагол,переходный1,амэсатэс,,,"рыться (в вещах), искать что-либо среди вещей",,,,,,,
˚амʔам,,,амʔам,существительное,,,˚амʔамэʔн,,"глубина, глубокое место",,,,,,,
аназʔан ӈэззэʔњч,,,,имя собственное,,,,,Большая Медведица (астр.) букв. ковшовые звезды,,,,,,,
анамԓ-,,,,глагол,переходный1,анамԓэс,,,"посылать кого-либо, что-либо",,,,,,,
анамԓэс,,,,существительное,,,анамԓэзэʔн,,посылка,,,,,,,
ананәмч,,,,существительное,,,,,"балка, служащая опорой для крыши",,,,,,,
анањчпаʔԓ-,,,,глагол,непереходный,анањчпаʔԓкас,,,"учить, учительствовать","анэчпальказ, анечпальхсказ",,,,,,
анӑс,,,,существительное,,,анӑзаʔн,,"ковш (совр. черпок, разливательная ложка)",,,,,,,
анза-,,,,глагол,переходный1,анзас,,,"выпачкать, замазать (грязью), смазать (мазью, жиром) что-либо",анза-,анзазо-,анзаʔԓ-,,,,
анза-,,,,глагол,непереходный,анзакас,,,"выпачкаться, вымазаться",анза-,анзазо-,анзаʔԓ-,,,,
анзазо-,,,,глагол,переходный1,анзазос,,,"красить, покрасить; раскрашивать; мазать, намазать; замазывать",анзазо-,,,,,,
анзазо-,,,,глагол,непереходный,анзазокас,,,"пачкаться, вымазываться многократно",анзазо-,,,,,,
анзан иԓ-,,анзам иԓ-,,глагол,переходный1,анзан эԓэс,,,обвинять,,,,,,,
анзас,,анзаʔноӈ,,существительное,,,анзазэʔн,,"мазь, растирание, краска",,,,,,,
анзаʔԓ-,,,,глагол,непереходный,анзаʔԓкас,,,обвинять,анзаʔԓст-,,,,,,
анзаʔноӈ,,,,существительное,,,анзаʔнэʔн,,"мазь, растирание, краска",,,,,,,
анзва-,,,,глагол,переходный1,анзвас,,,"1) целиться (из ружья), направлять удар; 2) выправлять вывихнутый сустав",анзва-,,,,,,
анзва-,,,,глагол,непереходный,анзвакас,,,целиться,анзва-,,,,,,
анзәлном,,,,существительное,,,анзәлноʔн,,подушка (деталь нарты),,,,,,,
анкалвас,,,,существительное,,,,,"колотье, боль в боку",,,,,,,
анӄэӄчʼоʔԓкаԓӽ,,,,существительное,,,анӄэӄчʼоʔԓкалаʔн,,судья,,,,,,,
анԓманом,,,,существительное,,,анԓманом,,1) спор; 2) разделение,,,,,,,
анманом,,анманоӈ,,существительное,,,анманэʔн,,выкройка,,,,,,,
аннат-,,,,глагол,непереходный,аннаткас,,,"пьянеть, хмелеть",,,,,,,
анок,,,,наречие,,,,,весной,,,,,,,
анпэн,,,анпэнәм,существительное,,,анпэнэʔн,,деталь нарты,,,,,,,
ансаваʔԓ-,,ансавэл-,,глагол,непереходный,ансаваʔԓкас,,,обниматься,,,,,,,
анстʼвол-,,анствол-,,глагол,непереходный,анстʼволкас,,,"наступать, ступать ногой",анстʼволзо-,анстʼволноӈ,,,,,
анстʼволноӈ,,,,существительное,,,анстʼволноʔн,,подбивка на лыже под ступней,,,,,,,
ансӽ,,,,существительное,,,ансӽаʔн,,"кусок, часть",,,,,,,
ансӽԓ-,,,,глагол,непереходный,ансӽԓкас,,,откусывать,,,,,,,
ансӽчка-,,,,глагол,непереходный,ансӽчкакас,,,"закусить, чуть чуть поесть (почти на ходу)",,,,,,,
ансчʼа-,,,,глагол,непереходный,ансчʼакас,,,"бродить (по глубоком снегу, проваливаться в снег)",,,,,,,
ансэʔԓ-,,,,глагол,непереходный,ансэʔԓкас,,,учиться,ансэʔԓкиԓӽ,ансэʔԓном,ансэʔԓэт-,,,,
ансэʔԓкиԓӽ,,,,существительное,,,ансэʔԓкилаʔн,,"ученик, школьник; ученица, школьница",,,,,,,
ансэʔԓном,,,,существительное,,,ансэʔԓноʔн,,школа,,,,,,,
ансэʔԓэт-,,,,глагол,непереходный,ансэʔԓэткас,,,учиться (многократно),,,,,,,
антавоӈаԓном,,,,существительное,,,,,искушение,,,,,,,
антʼэл-,,,,глагол,непереходный,антʼэлкас,,,прославиться,,,,,,,
анфчоʔԓ- ,,анхчоʔԓ-,,глагол,непереходный,анфчоʔԓкас,,,"караулить (зверя во время охоты), пасти",анхчоʔԓкаԓӽ,,,,,,
анхтзоʔԓ-,,,,глагол,непереходный,анхтзоʔԓкас,,,"шарить (бесцельно), искать (неизвестно что)",,,,,,,
анхча-,,аʔнхча-,,глагол,переходный1,анхчас,,,оставлять (кому-л. что-л. из еды),,,,,,,
анхчоʔԓкаԓӽ,,,,существительное,,,анхчоʔԓкалаʔн,,пастух,,,,,,,
анӽсӽ,,"анхс, анәхсх",,существительное,,,анӽсӽаʔн,,речное устье,,,,,,,
анчхлэт-,,,,глагол,переходный1,анчхлэтэс,,,"ставить силки, капканы",,,,,,,
анәњчхчаʔԓ-,,,,глагол,непереходный,анәњчхчаʔԓкас,,,"побеждать (одерживать победу), быть победителем",,,,,,,
анәњчхчаʔԓкиԓӽ,,,,существительное,,,анәњчхчаʔԓкилаʔн,,победитель,,,,,,,
анәњчхчаʔԓном,,,,существительное,,,-,,победа,,,,,,,
анэкстʼач,,,,существительное,,,анэкстаʔн,,изжога,,,,,,,
анэкстʼаʔԓ-,,,,глагол,непереходный,анэкстʼаʔԓкас,,,мучиться от изжоги,,,,,,,
анэчпаʔԓкиԓӽ,,,,существительное,,,анэчпаʔԓкилаʔн,,учитель; учительница,,,,,,,
ањачӽ,,,,существительное,,,ањаʔњч,,кусочек,,,,,,,
ањԓнэʔԓ-,,,,глагол,непереходный,ањԓнэʔԓкас,,,1) (уметь) читать; 2)  (уметь) считать,,,,,,,
ањԓнэʔԓкиԓӽ,,,,существительное,,,ањԓнэʔԓкилаʔн,,читатель,,,,,,,
ањԓо-,,,,глагол,переходный1,ањԓос,,,1) обещать что-либо; 2) показывать что-либо ,ањԓот-,ањԓоʔԓ-,,,,,
ањԓос,,,,существительное,,,ањԓозэʔн,,обещание,,,,,,,
ањԓоʔԓкнэн,,,,существительное,,,ањԓоʔԓкнэʔн,,указательный палец,,,,,,,
ањԓханом,,,,существительное,,,ањԓханоʔн,,полотенце,,,,,,,
ањԓэн,,,,существительное,,,ањԓэʔн,,свекор,,,,,,,
ањԓэнмайаӈаʔԓ-,,,,глагол,непереходный,ањԓэнмайаӈаʔԓкас,,,заниматься обманом,,,,,,,
ањтзәл-,,,,глагол,непереходный,ањтзәлкас,,,догонять,,,,,,,
ањтс,,,,существительное,,,ањтсаʔн,,"1) лежанка, постель; кровать; 2) одр (постель)",,,,,,,
ањтс-,,,,глагол,переходный1,ањтсәс,,,стелить постель,ањтс-,ањтсат-,,,,,
ањтс-,,,,глагол,непереходный,ањтскас,,,стелить (постель),ањтс-,ањтсат-,,,,,
ањчп-,,,,глагол,переходный1,ањчпэс,,,учить кого-либо,анањчпаʔԓ-,ањчпат-,,,,,
ањчпакат-,,,,глагол,переходный1,ањчпакатэс,,,повторять,,,,,,,
ањчпат-,,,,глагол,переходный1,ањчпатэс,,,учить кого-либо многократно или дистрибутивно,ањчпат-,,,,,,
ањчпат-,,,,глагол,непереходный,ањчпаткас,,,отвечать на вопросы,ањчпат-,,,,,,
ањчхчаӈ-,,,,глагол,непереходный,ањчхчаӈкас,,,"пакостить, вредить",ањчхчаӈ-,,,,,,
ањчхчаӈ-,,,,глагол,непереходный,ањчхчаӈкэс,,,воровать,ањчхчаӈ-,,,,,,
аӈазэ-,,,,глагол,переходный2,аӈазэкас,,,"узнать человека, понять, что за человек",,,,,,,
аӈаӈч,,,,существительное,,,аӈэʔн,,"таз (кости и вся тазовая часть тела вообще человека, животного)",,,,,,,
аӈйа,,,,существительное,,,-,,"слaвa, хвала",,,,,,,
аӈйа-,,,,глагол,переходный1,аӈйас,,,"1)  хвалить, похвалить; 2) благославлять",аӈйазо-,аӈйаʔԓ-,,,,,
аӈйаʔ,,,,существительное,,,аӈйаʔн,,хвастун,,,,,,,
аӈйаʔԓ-,,,,глагол,непереходный,аӈйаʔԓкас,,,"хвастать, хвастаться",,,,,,,
ӑӈӄа,,әӈӄа,,местоимение,,,,,что,ӑӈӄаԓ,ӑӈӄанкит,ӑӈӄанэʔсх,ӄаʔм ӑӈӄа,,,
ӑӈӄаԓ,,,,местоимение,,,,,чем; каким образом,,,,,,,
аӈӄан ит-,,,,глагол,непереходный,аӈӄан эткас,,,"дергаться, корчиться или привлекать к себе внимание каким-либо иным способом",,,,,,,
ӑӈӄанкит,,,,местоимение,,,,,"почему, зачем",,,,,,,
аӈӄансхэн-,,,,глагол,непереходный,аӈӄансхэнкас,,,"постоянно дурить, валять дурака",,,,,,,
аӈӄансӽӄ,,,,наречие,,,,,по-дурному,,,,,,,
аӈӄансӽлаӽ,,,,прилагательное,,,,,"по-дурному, тот, кто дурит, валяет дурака",,,,,,,
аӈӄан әнт-,,,,глагол,переходный1,аӈӄан әнтэс,,,"сделать нечто плохое, околдовать кого-либо, напустит порчу и тп; если делается что-либо над самим собой, то в качестве объекта выступает увик",,,,,,,
ӑӈӄанэʔсх,,әӈӄанэʔсх,әӈӄныс,местоимение,,,,,"зачем, для чего",,,,,,,
ӑӈӄата,,,,местоимение,,,,,что-то,,,,,,,
аӈԓӄ,,,,наречие,,,,,широко,,,,,,,
аӈԓлаӽ,,,,прилагательное,,,,,"1) плоский; 2) широкий (по отношению к плоским предметам: стена, доска, скатерть, покрывало, стол и т.п.)",,,,,,,
аӈойкʼа,,,,существительное,,,аӈойкʼаʔн,,бесхвостый (всякое животное),,,,,,,
аофӄ,,,,существительное,,,,,блюдо из запеченной толченой свежей лососевой икры с клубнями сараны или картофеля,,,,,,,
апԓкʼалаӽ,,апәԓӄлаӽ,,прилагательное,,,,,"плоский, мелкий (напр. блюдце)",,,,,,,
апсчʼат-,,,,глагол,непереходный,апсчʼаткас,,,бродить по (глубокому снегу многократно или дистрибутивно),,,,,,,
апчʼкʼәл,,,,существительное,,,апчʼкʼәʔл,,"ложкообразное весло, для того, чтобы загонять рыбу в ловушку; также для того чтобы извлекать рыбу из ловушки",,,,,,,
апылжакан,,,,существительное,,,,,стрела с широким железным наконечником,,,,,,,
апәԓӄлаӽ,,,,,,,,,,апԓкʼалаӽ,,,,,,
апʼәӈ-,,,,глагол,непереходный,апʼәӈкас,,,задыхаться (в дыму),,,,,,,
апʼәӈлаӽ,,,,прилагательное,,,,,"удушливый (дым, воздух)",,,,,,,
аргис,,,,существительное,,,аргизаʔн,,грузовая нарта без спинки; в нее запрягают одного оленя,,,,,,,
аркан,,,,существительное,,,арканаʔн,,аркан,,,,,,,
асаран,,,,существительное,,,асараʔн,,высота (чего-л.),,,,,,,
асасйэԓхэн,,,,существительное,,,асасйэԓхэʔн,,плевательница,,,,,,,
асат,,,,существительное,,,-,,кашель,,,,,,,
асато-,,,,глагол,непереходный,асатокас,,,"отхаркиваться, отхаркивать мокроту",,,,,,,
асварван,,,,существительное,,,-,,высота,,,,,,,
аскԓ-,,,,глагол,непереходный,аскԓкас,,,кашлять,,,,,,,
аскʼрэ,,,,существительное,,,аскʼрэʔн,,плевательница,,,,,,,
асӄ,,,,наречие,,,,,высоко,,,,,,,
аслаӽ,,,,прилагательное,,,,,высокий,,,,,,,
асолӈәӈ,,,,существительное,,,,,большой палец,,,,,,,
асса-,,,,глагол,непереходный,ассакас,,,возвышаться (о местности),ассаном,,,,,,
астӄлӽән,,,,существительное,,,астӄлӽэʔн,,филин,,,,,,,
асхәм,,,,существительное,,,асхмэʔн,,"ягодник, пастбище для оленей",,,,,,,
асэра,,,,существительное,,,асэраʔн,,нора,,,,,,,
асʔамԓ-,,,,глагол,непереходный,асʔамԓкас,,,"заноситься, высоко мнить о себе",,,,,,,
асʔас,,,,существительное,,,асʔазаʔн,,"высота, высокое место",,,,,,,
атал-,,,,глагол,непереходный,аталкас,,,охать,,,,,,,
атамсӄәл,,атамсӄол,,существительное,,,атамсӄәʔл,,пестрая птичка (синица?),,,,,,,
аткʼаљачӽ,,аткаљачӽ,,существительное,,,аткʼаљаʔњч,,"ласточка, стриж",,,,,,,
атӄавэ-,,атӄав-,,глагол,непереходный,атӄавэкас,,,хромать,,,,,,,
атӄусаʔ,,,,существительное,,,атӄусаʔн,,хромой,,,,,,,
атԓал-,,,,глагол,непереходный,атԓалкас,,,"разуваться, снимать обувь",,,,,,,
атԓхо-,,,,глагол,непереходный,атԓхокас,,,износиться (обуви),,,,,,,
атԓэмкʼа-,,атԓэмка-,,глагол,переходный1,атԓэмкʼас,,,"ставить заплаты (на обувь), спец. ставить заплаты на подошвах обуви",атԓэмкʼанŏӈ,атԓэмкʼат-,атԓэмкʼаʔԓ-,,,,
атԓэмкʼанŏӈ,,атԓэмканоӈ,,существительное,,,атԓэмкʼаноʔн,,заплата на подошве обуви,,,,,,,
атԓэмкʼат-,,,,глагол,переходный1,атԓэмкʼатэс,,,латать обувь многократно или дистрибутивно,,,,,,,
атԓэмкʼаʔԓ-,,,,глагол,непереходный,атԓэмкʼаʔԓкас,,,ставить заплаты на подошвы обуви,,,,,,,
атноӄол,,,,существительное,,,атноӄоʔл,,заброшенный посёлок (где никто не живёт),,,,,,,
атнолан,,,,существительное,,,атнолаʔн,,житель,,,,,,,
атном,,,тычсӽ,существительное,,,атноʔн,,"посёлок, деревня, село, город",,,,,,,
атноч,,,,существительное,,,атноʔн,,мышиный амбарчик (с кимчигой их раскапывали),,,,,,,
атноʔан,,,,прилагательное,,,атноʔаʔн,,"деревенский, сельский",,,,,,,
атскʼай,,,,существительное,,,атскʼэʔн,,"утка, типа крохаля",,,,,,,
атслаӈ,,,,существительное,,,атслаӈаʔн,,"водяной чуман (камч.), берестяная посуда типа бака, чана для хранения воды",,,,,,,
аттара,,,,существительное,,,аттараʔн,,конура,,,,,,,
атх-,,,,глагол,непереходный,атхкас,,,"белеть, светлеть, выцветать, линять",натхсав-,,,,,,
атхкәзәм,,,,существительное,,,,,"ель, осина",,,,,,,
атхкʼза-,,атхкʼәз-,,глагол,непереходный,атхкʼзакас,,,"блестеть, поблескивать (молния)",,,,,,,
атхкʼэм,,атхкʼәм,,существительное,,,атхкʼэʔн,,седой,,,,,,,
атхкʼэмамэ-,,,,глагол,непереходный,атхкʼэмамэкас,,,седеть,,,,,,,
атхӄ,,,,наречие,,,,,светло,,,,,,,
атхлаӽ,,,,прилагательное,,,,,белый; бледный; светлый,,,,,,,
атхԓ-,,,,глагол,непереходный,атхԓкас,,,"белеть, седеть",,,,,,,
атхнəӈчӄ,,,,наречие,,,,,утром,,,,,,,
атхса-,,,,глагол,непереходный,атхсакас,,,светать,,,,,,,
атхсанŏм,,,,существительное,,,-,,восток,,,,,,,
атхсаноʔан,,,,прилагательное,,,,,восточный,,,,,,,
атхʔатх,,,,существительное,,,-,,"свет, вселенная, мир",,,,,,,
атхʔатхчан,,,,прилагательное,,,,,всемирный,,,,,,,
атәрватэ-,,,,глагол,непереходный,атәрватэкас,,,"колыхаться, создавая марево, мираж",,,,,,,
атәта,,,,существительное,,,,,утка-зяблик,,,,,,,
атэԓ,,,,наречие,,,,,"недавно, не так давно",,,,,,,
ахс-,,аӽс-,,глагол,непереходный,ахскас,,,родиться,,,,,,,
ахсхкэсхэн,,,,,,,,,,авза-,,,,,,
ахт-,,хт-,әхт-,глагол,переходный1,ахтэс,,,"разделывать рыбу, пластать",ахт-,,,,,,
ахт-,,хт-,әхт-,глагол,непереходный,ахткас,,,заниматься разделкой рыбы,ахт-,,,,,,
ахтном,,,,существительное,,,ахтноʔн,,место разделки рыбы,,,,,,,
аӽԓ-,,ахԓ-,,глагол,переходный1,аӽԓэс,,,"снимать (одежду); распрягать (оленей, собак); снимать урожай (особенно картофеля)",аӽԓата-,аӽԓэт-,,,,,
ача-,,,,глагол,переходный1,ачас,,,"облить, обдать водой (например, камни в бане)",,,,,,,
ачаӈәм,,,,существительное,,,,,подошва обуви,,,,,,,
ачињчк,,ачэњчк,,наречие,,,,,вчера,,,,,,,
ачињчʼан,,,,прилагательное,,,,,вчерашний,,,,,,,
ачплэ-,,,,глагол,переходный1,ачплэс,,,зачерпывать что-либо,ачплэ-,,,,,,
ачплэ-,,,,глагол,непереходный,ачплэкас,,,"взять в рот (пищу), зачерпывать (еду, воду из ведра)",ачплэ-,,,,,,
ачхӄʼалаӽ,,,,прилагательное,,,,,лысый,,,,,,,
ачәбрэ,,,,существительное,,,ачәбрэʔн,,русский (прозвище пренебрежительное),,,,,,,
ачәњчх,,,,существительное,,,ачәњчхаʔн,,лес,,,,,,,
ачʼал,,,,существительное,,,ачʼаʔл,,"берестяная корзина, корзинка для ягоды, с ручкой, в нее собирают ягоду непосредственно из нее пересыпают в мумх (корзину) или оромх; берестяной конусообразный туес, подвешиваемый к поясу",,,,,,,
ачʼсинԓ-,,ачʼсхэнԓ,,глагол,непереходный,ачʼсинԓкас,,,чихать,,,,,,,
ачʼсхэнԓ,,,,,,,,,,ачʼсинԓ-,,,,,,
ачʼэ-,,,,глагол,непереходный,ачʼэкас,,,лаять (собака),,,,,,,
аʔаԓо-,,,,глагол,непереходный,аʔаԓокас,,,проситься на горшок (дети),,,,,,,
˚аʔасх,,,,существительное,,,˚аʔасхаʔн,,гнездо,,,,,,,
аʔасх-,,,,глагол,непереходный,аʔасхкас,,,гнездиться,,,,,,,
аʔвачӽ,,,,прилагательное,,,аʔваʔњч,,русский,,,,,,,
аʔйваӄрэԓхэн,,,,существительное,,,"аʔйваӄрэԓхэʔн, аʔйваʔн",,череп,,,,,,,
аʔйувʔай,,аʔйва,,существительное,,,аʔйуваʔн,,"головной мозг (человек, животное)",,,,,,,
аʔлом,,,,междометие,,,,,"что ли, лучше бы и т.п. (вводное слово, преимуществ. в вопрос. оборотах)",,,,,,,
аʔлот,,,,существительное,,,аʔлотэʔн,,выделение из ушей; перенос. непослушный ребенок,,,,,,,
аʔнвсэс,,,,существительное,,,аʔнвсэзэʔн,,"окно, отверстие для света",,,,,,,
аʔноӈ,,,аноӈ,существительное,,,аʔноʔн,,"рыбья пластинка; т.е. половина рыбьей тушки, разрезанная вдоль",,,,,,,
аʔнтхԓ-,,,,глагол,непереходный,аʔнтхԓкас,,,"смотреть, как едят (глотать слюни от голода)",,,,,,,
аʔнфс-,,,,глагол,непереходный,аʔнфскас,,,светить (солнце),аʔнфсат-,,,,,,
аʔнхчас,,,,существительное,,,аʔнхчазэʔн,,остаток еды приготовленной ранее,,,,,,,
аʔнэсхват-,,,,глагол,непереходный,аʔнэсхваткас,,,забывать,,,,,,,
аʔӈэ,,,,существительное,,,аʔӈэʔн,,утка,,,,,,,
аʔӈэчӽ,,,,существительное,,,,,морская утка,,,,,,,
бабутэ-,,,,глагол,непереходный,бабутэкас,,,стареть (о женщине),,,,,,,
бабучӽ,,,,существительное,,,бабуʔњч,,1) бабушка; 2) старуха,,,,,,,
бабушкачӽ,,,,существительное,,,,,бабушка,,,,,,,
баврачӽ,,,,существительное,,,бавраʔњч,,"крючок для извлечения чего-либо из бочки, «куба»",,,,,,,
байдар,,,,существительное,,,байдараʔн,,"байдара, охотничья лодка",,,,,,,
бак,,,,существительное,,,бакаʔн,,бак (для воды),,,,,,,
банкаʔ,,,,существительное,,,банкаʔн,,банка,,,,,,,
