Ительменское слово,Русское слово
iɬwirču- неп,белеть
beʎi- п1,белить
beʎiʔɬ- неп,белить
belkaʔ сущ,белка
Мiɬχ собств,Белоголовое
ttexč сущ,белолицый
atxlaχ прил,белый
kakf сущ,бельмо на глазу
iʔiɬun сущ с. ,берег
ʷknizim сущ,берег
eʔle сущ,берег
t'le- неп,берег обваливается
iʔɲɬəm сущ,"берег плоский, берег высокий"
toɬwoŋ сущ,береговой запор
kŋiteʔin прил,бережливый
ič' сущ,береза
kəlx сущ с. ,береза
kilx сущ,береза белая
ič'al сущ,березняк
kilxal сущ,березняк
uxt сущ,березняк
bilеt сущ,билет
kəʎʎaʔɲč сущ,бисер
lot'ɬxenom сущ,битва
tnxen- п1,битком набивать
txnot- п1,битком набивать
tχnu- п1,битком набивать
kowa- п1,бить
netɬqeʔɬ- неп,бить
juq' сущ,бить
k'uxk' сущ,пищу
ič'ʔin прил,березовый
uxt сущ,березовый лес
čkəp сущ,березовый нарост
ič'əmč сущ,березовый подлесок
iʔmeməm сущ,березовый сок
ič'al сущ,берёзы
kilxal сущ,березы заросли
iwk' сущ,березы луб
fɬ- неп,беременной быть
ənk'sx сущ,береста
ač'al сущ,берестяная корзина
akinsx сущ,четырехугольный
krenkejoɬxən сущ,берестяной туес для молока
sxzemx сущ,гольной формы
ŋiti- п1,беречь
inju- неп,беречься
noč сущ,берлога
χeqe сущ,бес
krweɬxatas сущ,беседа
krweɬxet- неп,беседовать
d'ekowaʔɬ- неп,беситься
inmisin- неп,беспокоить
krurew- неп,беспокоиться
kəʔŋɬ- п1,беспокоиться
nitasxen- неп,беспокоиться
čiŋuqelaχ прил,беспорядочный
ɬapxač'eraŋ сущ,беспутный
aŋojk'a сущ,бесхвостый
biblioteka сущ,библиотека
bibliotekar сущ tala- п1,библиотекарь
talazo- п1,библиотекарь
talat- п1,библиотекарь
tpəlzo- п1,библиотекарь
tpəll- п1,библиотекарь
txɬ- п1,библиотекарь
uzilet- п1,библиотекарь
enatala- неп с. ,библиотекарь
jajarčo- неп,бить в бубен
xuxula- п1,бить за непослушание
fizwaɬče- неп,бить прутом
txɬzo- п1,бить сильно
netɬqeʔɬ- неп,битьем
qeč'eɬe- п1,благодарить
qeč'eɬeʔɬ- п1,благодарить
qeč'eɬnom сущ,благодарность
melmel сущ,благодать
k'alwaʼan прил,благославленный
k'alwaʔan прил,благославленный
aŋja- п1,благославлять
əmtx- неп,бледнеть
atxlaχ прил,бледный
eɬwerčom сущ,блеск
atxk'za- неп,блестеть
ilemzaq'ɬ- неп,блестеть
iɬwirču- неп,блестеть
k'eɬwerčoʔan прил,блестящий
tmalke нареч,ближе
tmalʔan прил,ближний
tmallaχ прил,близкий
tmalʔan прил,близкий
tmalk нареч,близко
tmal нареч,близко
lqpχaj сущ,блоха
č'afkra- неп,блудить
č'afkram сущ,блудница
čxilli- неп,блуждать
čxillit- неп,блуждать
qəmteq сущ,икры
aofq сущ,картофеля
kilekil сущ,тюленьим жиром
əŋqsxeʔɬnom сущ,больница
jox межд,больно
kɬəŋqsxi нареч,больно
əŋqsχlaχ прил,больной
anazʔan ŋezzeʔɲč сущ,Большая Медведица
Ӄaɲčsχ сущ,Большая Медведица
kumisx сущ,большая муха
Кixsяj Ю. собств,Большерецк
titqs сущ,большое село
ʷplaχ прил,большой
χopt прил,большой
esqčkin прил,блюдо из толченой свежей
xʎep сущ,запеченное в печи
lamŋa сущ,большой бык
sonzalx сущ,большой каменный круг
asolŋəŋ сущ с. ,большой палец
ʷpneŋaʔn сущ,большой палец
silqsilq сущ timkč сущ,большой палец
bʎut͡sen сущ,блюдце
bogačχ сущ,бог
nustaxčaχ сущ,бог
amelken сущ,богаство
neksama нареч,богато
aknos сущ,богатство
naknoqen прил,богатый
neksamin прил,богатый
naknoqen сущ,богач
tχiwlaχ прил,бодрый
lot'ɬxenom сущ,бой
ankalwas сущ,бок
ʷkasoŋ сущ,бок
xʔawəm сущ,мужского капора
kaseŋʔan сущ,боковой камус зимней обуви
ksoʔn сущ,боковые камусы зимней обуви
əŋqsxnom сущ,болезнь
istwe- неп,болеть
əŋqsx- неп,болеть
q'imtq' сущ,болото
krweɬxet- неп,болтать
t'enŋat- неп,болтаться
əŋqsx сущ,боль
ankalwas сущ,боль в боку
fenes сущ,большой сибирский гуменник
tənzasχ сущ,большой спинной плавник рыбы
luʔwəl сущ,борода
luʔwilti- неп,бородой обрасти
ʷɬiti- неп,бороться
katx сущ,борщевик
d'iŋʎiŋʎačχ сущ,ботало
botinkaʔn сущ,ботинки
bočkaʔ сущ,бочка
kəllasnom сущ,боярышник
kəllasnal сущ,боярышника заросли
ijakeʔɬ- неп,бояться
xte- п1,бояться
eqel- п1,браковать
qitkineŋ сущ,брат
sillatumx сущ,брат
"tiя сущ В., Ю. ",брат
aʎa сущ,брат старший
ɬ- п1,брать
ɬit- п1,брать
exɬat- п1,брать
ɬintskawel- п1,брать в плен
qaŋɬat- п1,брать взаймы
pklelsxen- неп,брать двумя горстями
ɬonaɬo- п1,брать клятву
sisxeŋɬ- неп,брать с собой еду
qaŋɬə- п1,брать что-либо взаймы
brewnoʔ сущ,бревно
uʔ сущ,бревно
sel- неп,бредить
ɬŋunu- неп,брезжить
brigada сущ,бригада
ənmi- п1,брить
tilteʔn сущ,брови
təltəl сущ,бровь
ansč'a- неп,бродить
apsč'at- неп,бродить
seʔl- неп,бродить
tiwʎat- неп,бродить по реке
apsč'at- неп,бродить по снегу
brotneʔn сущ,бродни
iwlsχeʔn сущ,бродни
č'ixilereŋ сущ,бродяга
inoms- неп,бросать
paxčo- п1,бросать
paxčozo- п1,бросать
tkil- п1,бросать
tkillet- п1,бросать
tkit- п1,бросать
tkəl- п1 с. ,бросать
tketzo- п1,бросать
pens- неп,бросаться
penset- неп,бросаться
mek'ɬxən сущ,брус
k'awʔuč сущ,временного летнего шалаша
ʷčeɬxčeɬx сущ,брусника
pnawŏm сущ,брусок точильный
ipstu- п1,брызгать
ipstuʔɬ- неп,брызгать
ipɬqeʔɬ- неп,брызгаться
ipstuʔɬ- неп,брызгаться
ipstuʔn сущ,брызги
qepɬko- п1,брыкаться
quwa сущ,брюки
nanqajp- п1,брюхо вспарывать
sit сущ,брючный ремень
k'ink'in сущ,брюшко рыбье
jajar сущ,бубен
jajarčo- неп,бубен бить
xirwirwečχ сущ,бубенчики для собак
eskp сущ,бугор
nəsxleʔɬ- неп,будить
ənsxɬi- п1,будить
ənsxɬit- п1,будить
ənsxɬezo- п1,будить
pukkal сущ,бузины заросли
bukiska сущ,букашка
bukwaʔ сущ,буква
bukwar' сущ,букварь
bulkaʔ сущ,булка
aɬes сущ с. ,бульон
emk' сущ,бульон
bumagaʔ сущ,бумага
bumaʐnoj прил,бумажный
fjal сущ,буран
ɬeruŋ- неп,бурчать
fjal сущ,буря
kəʎʎaʔɲč сущ,бусы
butilkaʔ сущ,бутылка
ʷkič'e сущ,бык
lamŋa сущ,бык большой
ziwa нареч,быстро
niqa нареч с. ,быстро
ničχalq нареч,быстро
xʎoska нареч,быстро
č'etxla- неп,быстро нестись
insimpɬ- неп,быстро погружать
fseʔɬ- неп,быстро течь
bɨstroj прил,быстрый
nikelaχ прил,быстрый
nipweqin прил с. ,быстрый
iɬ- п1,быть
it- неп,быть
itkeʔɬ- неп,быть
ɬ- неп,быть
til- п2,быть
fɬ- неп,быть беременной
či- неп,быть в наличии
netxwaʔɬ- неп,быть забывчивым
kəmŋa- неп,быть завлеченным
intxəleʔɬ- неп,быть колючим
nemč'k'eleʔɬ- неп,быть надоедливым
utu- неп,быть не в состоянии
anəɲčxčaʔɬ- неп,быть победителем
inənk'zuʔɬ- неп,быть помощником
nikɬfaʔɬ- неп,быть растяпой
č'eʔɬ- п1,быть с кем-то совместно
ənzleʔɬ- неп,быть чувствительным
čəsk нареч,в
čəske нареч,в
əntewelet- п1,в воде растворять
sisxeŋɬ- неп,в дорогу собираться
zenkoŋ нареч с. ,в лес
senke нареч,в лес
seɲčke нареч,в лесочек
sink нареч,в лесу
zin- А,"в лесу, в лес"
sin- А,"в лесу, в лес, из леса, лесной"
ɲaačiɬ нареч,в одиночестве
fiɲɲatɬ мест,в одиночку
t'aɬanank нареч,в позапрошлом году
xiʔixltu нареч,в позапрошлом году
posʎetɲoj нареч,в последний раз
ixɬtu нареч,в прошлом году
kӑnnenk нареч,в середине
kӑnnenke нареч,в середину
kӑnnenk нареч,в центре
kӑnnenke нареч,в центру
waʐnoj прил,важный
waʎenkaʔn сущ,валенки
əntɬki- п1,валить
əntɬkist- п1,валить
saknom сущ,вальдшнеп
aŋqansχlaχ прил,валяет дурака
aŋqansxen- неп,валять дурака
lokaweʔɬ- неп,валять дурака
liʔl сущ,варежки
p'axp'aŋ сущ,вареная рыба
sewaʔn сущ,"вареная, чуть подвяленная рыба"
warʐin сущ,варженка (деталь нарты)
kokazo- п1 с. ,варить
kuke- п1,варить
kokala- неп,варить немного
kokazo- неп,варить постоянно
kokazo- п1,или в большом количестве
tuzaʔn мест,вас
lopčotəm сущ,вата
əmpɬi- п1,вбивать
ɬalaŋ нареч,вброд
wančk нареч с. ,вверх
xanke нареч,вверх
xaɲčke нареч,вверх
ktskiɬ нареч,разделки
ənsxu- п1,вверх поднимать
wank нареч с. ,вверху
xank нареч,вверху
waɲčk нареч с. ,вверху (по течению)
xaɲčk нареч,вверху (по течению)
tewata- п2,ввести
ɬinč'eŋ- п1,вводить
ʷti- п2,вводить
meč'ak нареч,вдалеке
t'aɬk нареч,вдалеке
sča- п1,вдевать нитку в иголку
amamʔjoq нареч,вдоволь
"mejim, mejeŋ нареч",вдоволь
əmptowa нареч,вдоволь
ənk'olsxen- п1,вдребезги
xorowal нареч,вдруг
wedro сущ,ведро
eʔjoɬxen сущ,ведро
imt межд,ведь
weʐliwoj прил,вежливый
wezdeʔ нареч,везде
lalpsnoŋ сущ,веко
iti- п1,велеть
lawata- п2,велеть
leč'iχ сущ,великан
ʷplaχ прил,великий
pəlwərwən сущ,величина
tjotjəm сущ,вена
malenəŋ сущ,веник
ɬmaɬes сущ,вера
liɬč сущ,веревка
fӑsχt сущ,веревка
tupusin сущ,веревка бата лодки
iɬ- п1,верить вэрит
ɬmaɬu iɬ- п1,верить вэрит
liɬi нареч,верно
čŋiɬ нареч,верно
ilwizi- неп,вернуться
kliɬʔin прил,верный
qej нареч,вероятно
ənk'ele- п1,вертеть
k'ili- неп,вертеться
əntχzuʔɬ- п1,вертикально ставить
wertoʎot сущ,вертолёт
kɬmaɬʔan прил,верующий
ʷПlaχaʔn собств,Верхнее Хайрюзово
xanʔan прил,верхний
kzixč сущ,крывающая темень
xanzozwa нареч,верхом
oɬxen сущ,верхушка дерева
oɬxen сущ,вершина
čkaɬxən сущ,вершина дерева
ktxeɬxən сущ,"вершина сопки, горы"
ənxajmaŋto- п1,веселить
wajmaŋto- неп с. ,веселиться
xajmaŋto- неп,веселиться
wajma нареч,весело
nwajma- нареч с. ,весело
wesoloj прил,весёлый
apč'k'əl сущ,весло
tejmenŏŋ сущ,весло
tejme- неп,веслом грести
kaxtan сущ,весна
anok нареч,весной
ɬekɬalew- п1,вести
ənsaɬt- п1,вести кого-либо
χoʎat- неп,вести холостой образ жизни
ampelaʔɬkaɬχ сущ,вестник
ampelanom сущ,весть
wes сущ,весь
miɬ сущ,весь
tuti нареч,весь
spəl сущ,ветер
xiwəs сущ,ветер к заморозку
nineʔ сущ,ветер курильский
qep- неп,ветер усиливается
rirwun сущ,ветер южный
weterinar сущ,ветеринар
sŋak сущ,ветка
kitxɬ сущ,ветла
kitxɬ сущ,ветла
utxlaχ прил,ветхий
utxq нареч,ветхо
ilileč сущ,веха
keŋč сущ,веха
txunkəm сущ,вечер
xiwəs сущ,вечерний ветер к заморозку
txunʔin прил,вечерный
wečno нареч,вечно
kəɲčpaɬ нареч,вечно
quʔneŋeʔn нареч,вечно
kəɲčpaɬən прил,вечный
quʔneŋelaχ прил,вечный
quʔneŋeʔin прил,вечный
ŋelpeʔn сущ,вешала
wesalkaʔ сущ,вешалка
wesalkalŋin сущ,вешалка для рыбы
č'əmkečχ сущ,вешалка-крючок для сети
ənt'enŋa- п1,вешать
ənt'eŋat- п1,вешать
zalk нареч,взади
wzajmaʔ нареч,взаймы
qaŋɬat- п1,взаймы брать
qaŋɬə- п1,взаймы брать
efs- неп,взбираться
nepajsa- п1,вздуть
jaŋsalan сущ,взрослый медведь-самец
zu- п2,взять
ačple- неп,взять в рот (пищу)
pklel- п2,взять двумя горстями
iwris сущ,вид крохаля
aɬeʔn сущ,вид повседневной обуви
č'rutx сущ,вид толкуши
zwosx сущ,вид травы
sxom сущ,вид травы
ɬčku- п1,видеть
əʎčku- п1 с. ,видеть
əɬčku- п1,видеть
retla- неп,видеть сон
tepəlaχ прил,видимый
tepəl le- неп,видимый
č'exrota- неп,визгливо смеяться
č'omqečχ сущ,вилка
neŋeʔɬnom сущ,вилы
t'enŋe- неп,висеть
t'enŋat- неп,висеть
t'izimč сущ,висок
ənkawral- п1,вить
čχamɬ- неп,вкусно есть
kɬč'eweze нареч,вкусно очень
č'ewezlaχ прил,вкусный
fansx сущ,влагалище
čqlaχ прил,влажный
eʎweʎaχ прил с. ,влажный
q'efq'ef сущ,власть
sič'eŋanke нареч,влево
xuwe межд,влево (команда собакам)
č'e- неп,влезать
iwu- неп,вместе
kč'eʔɬʔin ,вместе
omakaŋ нареч,вместе
omokom нареч с. ,вместе
č'e- неп,вмещать
əzwa- неп,вмещаться
tewata- п2,внести
kalfsk нареч,внешне
tnŭm- А,вниз
tnŭmke нареч,вниз
ijank нареч,вниз (по течению)
fi- неп,вниз по течению
ejanke нареч,вниз по течению
tnŭm- А,внизу
tnŭmk нареч,внизу
ijank нареч,внизу (по течению)
ijank нареч,ю.;
ʷti- п2,вносить
tet- п1,вносить
kӑmlon сущ,внук
čəsk нареч,внутри
čəske нареч,внутрь
kӑmlon сущ,внучка
iʔ сущ,вода
eʔrumʔerum сущ,"вода, выступающая поверх льда"
ɬekɬalew- п1,водить
ɬenɬalezoŋ- п1,водить
iʔaxčaχ сущ,водичка
iʔaxčaχ сущ,водка
ača- п1,водой обдать
xollolač сущ,водопад
tŋəlet- п1,воду набирать
tŋil- неп,воду черпать
iʔnum- неп,воды в рот набирать
iʔnum сущ,воды глоток
ikənsfɬ- неп,воды таскать
iʔeqen сущ,водянка (болезнь)
zofsx сущ,водяной
ksχzoʔas сущ,водяной
atslaŋ сущ,водяной чумок
lut'ɬxe- неп,воевать
č'afkranom сущ,вожделение
ampelaʔɬ- неп,возвещать
uwik сущ,возвратное местоимение
tilwizi- п1,возвращать
tilwizit- п1,возвращать
ilwizi- неп,возвращаться
ilwizist- неп,возвращаться
ilwizit- неп,возвращаться
əlizi- неп с. ,возвращаться
rajt- неп,возвращаться домой
najasow- п1,возвышать
assa- неп,возвышаться
assanom сущ,возвышение
efsnom сущ,возвышение
efsnom сущ,возвышенное место
eskp сущ,возвышенность
efufe межд,возглас облегчения
iʂki част,возглас шамана
fčifč сущ,воздух
ɬenɬalezoŋ- п1,возить
nəntxlaʔɬ- неп,возить
timpɬ- п1,возить
timpɬet- п1,возить
əntxla- п2,возить
əntxlat- п2,возить
ŋil- неп,возить дрова
ŋinsxeʔɬ- неп,возить дрова
ŋelxsɬ- неп,возить дрова
olla предл,возле
klfteʔan сущ,возлюбленный
χelulan сущ,возлюбленный
ettun межд,возможно
iɲčzum сущ,вознаграждение
ilk'est- неп,возражать
tle межд,возьми
lot'ɬxenom сущ,война
ilewe- неп,волгнуть
xiwne сущ,волк
mumwum сущ,волна
waleʔɬ- неп,волноваться
krurew- неп,волноваться
nitasxen- неп,волноваться
walaʔn сущ,волны
stunsx сущ,волокна крапивы
tɬwal сущ,волокно
k'imk'im сущ,волос человеческий
etɬxte- неп,волосами обрастать
stil- п1,волочить
tənk'el сущ,волчок
qamzaʔɲɬ- неп,воображать
kiɬwi нареч,"вообще, так"
čxča- неп,вопить
ritwiriwu- неп,вопить дурным голосом
aɲčxčaŋ- неп,воровать
k'ekwiʔɬ- неп,воровать (о животных)
χeʔq'ɬx сущ,ворон
feʔaqɬχ сущ,ворон старый
ʷqlaqɬχ сущ,ворона
axanom Ю. сущ,"воротник бобровый, соболиный"
čuxɬ- неп,ворочаться
č'uwiʔɬ- неп,ворочаться
ɬeruŋ- неп,ворчать
woskrеsеn'е сущ,воскресенье
ezlenom сущ,воскресенье
txəʔɲɬ- п1,воспитывать
txeɬnom сущ,воспоминание
tekejnom сущ,восстание
atxsanŏm сущ,восток
atxsanoʔan прил,восточный
burin сущ,восточный язык
nux мест,вот
nux нареч,вот
qetewʔin межд,вот неудача!
xaɬč нареч,вот скоро
qaʔtʔin нареч,вот уж
fač'ik сущ,вошь
kɬfəɲčke нареч,вперед
ənpeskoz- п1,вперед пронести
kɬfəɲčk нареч,впереди
tχz- п1,вплести
ənkaŋɬat- п1,впрок запасать
kəʔmxaɬ союз,впрочем
χaqelan сущ,враг
aɲčxčaŋ- неп,вредить
ɬisxepi- неп,вредить
ɬiweklin- неп,вредничать
ɬisxepi- неп,вредничать
itewom сущ,временная сушилка
wreme сущ,время
inxt сущ,время
xaɬč нареч,время
etkuɬ сущ В. ,время
tuti нареч,все
wod'eren нареч,все время
ewun нареч,все же
ewun нареч,все равно
wod'eren нареч с. ,всегда
wečno нареч,всегда
quʔneŋeʔn нареч,всегда
quɲeŋ нареч,всей гурьбой
atxʔatx сущ,вселенная
mslelŋən сущ,вселенная
atxʔatxčan прил,всемирный
kɬq'ewaŋaʔn прил,всесильный
ewun нареч,все-таки
txəʔɲɬ- п1,вскармливать
učučux межд,вскрик
eqeqe межд,вскрик
əmp'q'a- п1,вскрывать
əlp- неп,вскрываться
salk нареч,вслед
tepəl нареч,вслух
teɬet- п1,всовывать внутрь
injinom сущ,всплеск рыбы
ipəɬqe- неп,всплескивать
ija- неп,всплывать на поверхность
ɬnita- п1,вспоминать
txiɬet- п2,вспоминать
enxzo- п1,вспоминать
imsq'eʔɬki нареч,вспоминая прошлое
txiɬ- п2,вспомнить
nanqajp- п1,вспрывать брюхо
qeqč'ulaχ прил,вспыльчивый
ŋelp- неп,вставать
tat- неп,вставать
tekej- неп,вставать
səŋra- неп,вставать дыбом
kinenlit'in сущ,вставка в рукавице
č'irewenəŋ сущ,вставка в рукавице
teɬ- п1,вставлять
əntkeʔɬ- п1,встать помочь
inf- п2,встречать
jawna- п1 с. ,встречать
čawa- п2,встречать
jowa- п1,встречать кого-либо
jawna- неп с. ,встречаться
luwne- неп,встречаться
isxu- неп,всходить
es- неп,всходить
ʎeɲiɬʔan прил,всякий
mniɬʔan мест,всякий
fsakoj прил,всякий
warnaʔn сущ,имущество
ʷti- п1,вталкивать
ʷti- п2,втаскивать
tet- п1,втаскивать
wtornik сущ,вторник
t'ilŋin прил,второй
amsaneq нареч,второпях
ənfajwazo- п1,второпях сварить
əmpɬi- п1,втыкать
ənsxpɬ- п1,втыкать
aigiteskik сущ Ю. ,вулкан
apagačuč' сущ В. ,вулкан
wijakazač сущ Ю. ,вулкан
paakčix сущ Ю. ,вулкан
č'enom сущ,вход
xč'es сущ,вход в запор
č'e- неп,входить
č'et- п1,входить
č'etit- неп,входить
ačiɲčk нареч,вчера
fčora нареч,вчера
ačiɲč'an прил,вчерашний
iɲɬ- п1,вшей искать
tuzaʔn мест,вы
tzilwin мест,вы сами
tpəlzot- п1,выбивать пыль
wat- неп,выбиваться из сил
watsxen- неп,выбиваться из сил
inčil- п2,выбирать
inčileʔɬ- неп,выбирать
čil- п2,выбирать
čilit- п2,выбирать
wɨboraʔn сущ,выборы
tkil- п1,выбрасывать
tkillet- п1,выбрасывать
tketzo- п1,выбрасывать
ənt'leʔɬ- п1,выбрасывать
ənxərke- п1,выбрасывать
čelata- п2,выбрать
kɬf- неп,вываливаться
sqaso- неп,выветриться
lopləmzo- п1,вывихнуть
lopləmzotə- п1,вывихнуть
tl- п1,выворачивать наизнанку
tlet- п1,выворачивать наизнанку
tənza- неп,выглядывать
tənzat- неп,выглядывать
əllat- п1,выговаривать слова
ajtat- п1,выгонять
ajtatet- п1,выгонять
oropla- п1,выгонять комаров из дома
atxsat- неп,выгорать
əmp- п1,выгружать
niŋiʔɬ- неп,выгружать(ся)
ɬinqamzant- п1,выдавать замуж
lawata- п2,выдать
č'iraqəl сущ,выделанная оленья кожа
aʔlot сущ,выделение из ушей
əɬč'erwaʔn сущ,выделения глазные
ʷnaɬeʔɬ- неп,выделкой шкур заниматься
naɬ- п1,выделывать шкуру
pl- п1,выделывать шкуру
pleʔɬ- неп,выделывать шкуру
ɬwaɬte- неп,выделяться
č'laʔ- п1,выдерживать
widreʔ сущ,выдра
ŋeɬeŋɬx сущ,выдра
əɲɬiŋ сущ с. ,выдра
ʷk'enezi- п1,выдумывать
txiɬet- п2,выдумывать
qečisi- неп,выздоравливать
qečisit- неп,выздоравливать
mele- неп,выздоравливать
xsozale- неп,выздороветь
oč'- п1,вызывать
ɬinpanenajpa- п1,на откровенность
ik'sxulaχ прил,вызывающий жажду
inewete- неп,выигрывать
inewetet- неп,выигрывать
əɲčxča- п1,выигрывать
tpəlzot- п1,выколачивать
txɬet- п1,выкоывать
əɲč'ač'ala- п1,выкрасить в красное
anmanom сущ,выкройка
ɬelenŏm сущ,выкройка
es- неп,вылезать
ənmel- п1,вылечить
ins- п1,выливать
tomet- п1,вылизывать
č'mil- п1,вылизывать
anza- неп,вымазаться
anzazo- неп,вымазываться многократно
mali- п1,выметать
txane- неп,вымокнуть в воде
ləm- п1,вымыть
əntxs- п1,вынимать
əntxsit- п1,вынимать
tiŋ- п1,выносить
tin- п1,выносить наружу
ija- неп,вынырнуть
kɬf- неп,выпадать
leʔlemti- неп,выпадать
anza- п1,выпачкать
anza- неп,выпачкаться
iɬxeɲčke- п1,выплевывать
sk- п1,выполнять
anzwa- п1,выправлять вывихнутый сустав
twajt- неп,выпрыгивать
ənwetwaw- п1,выпрямлять
wetwet- неп,выпрямляться
ənksi- п1,выпускать
ənqsit- п1,выпускать
wetat- п1,выработать
ənwetwaw- п1,выравнивать
esχte- неп,вырастать
ənsχt- п1,выращивать
qsi- неп,вырываться
enese- неп,высаживаться
č'isxuŋ- п1,высасывать кровь
eʔŋlet- неп,высекать огонь
ɬinɬkze- п1,выслеживать
ɬiɲɬkz- п1,выслеживать
ɬčkust- п1,высматриваться
ɬiŋweju iɬ- п1,высмеивать
ɬiŋ iɬ- п1,высмеивать
aslaχ прил,высокий
iʔɲɬəm сущ,высокий берег
asq нареч,высоко
asʔas сущ,высокое место
twestewnom сущ,обзором
asaran сущ,высота
aswarwan сущ,высота
asʔas сущ,высота
nepelxo- неп,выспаться
wɨstawkaʔ сущ,выставка
tin- п1,выставлять
əɲčqa- п1,выстрелить
katx сущ,высушенные стебли
ins- п1,высыпать
əɲčxeŋ- п1,высыпать
itne- неп,высыпаться
čxiŋ- неп,высыпаться
k'isxɬet- неп,высыхать
k'isxɬni- неп,высыхать сильно
fč'ez- п1,вытапливать жир
in- неп,вытапливаться
txuŋ- п1 ю. ,вытаскивать
tin- п1,вытаскивать
ənts- п1 с. ,вытаскивать
əntxs- п1,вытаскивать
əntxsit- п1,вытаскивать
wolwos- п1,выташнивать
č'el- п2,вытворять
es- неп,вытекать
anɬxaɬ- неп,вытирать
ɬxa- п1,вытирать
ɬxazo- п1,вытирать
ɬxat- п1,вытирать
ɬxazo- неп,вытираться
fč'es сущ,вытопки жира
ɬintple- п1,вытряхивать
ɬintplet- п1,вытряхивать
ɬentplezo- п1,вытряхивать
awla- неп,выть
txuŋ- неп ю. ,вытягивать
txuŋet- п1,вытягивать
sxoŋ- неп,вытягиваться
ənamčetə- п1,вытянуть руки
pla- неп,вытянуться
χamtzi- неп,вытянуться
pxakɬ- неп,выхватывать
χomstnŏm сущ,выход
χumst- неп,выходить
es- неп,выходить
qamzante- неп,выходить замуж
qamzantet- неп,выходить замуж
χaqanʔe- неп,выходить из себя
χaqeni- неп с. ,выходить из себя
xomstat- неп,выходить многократно
ip- неп,выходить на берег
ipit- неп,выходить на берег
eʔrma- неп,выходить на лед
esat- неп,выходить на поверхность
čawa- п2,выходить навстречу
xomstat- неп,выходить наружу
atx- неп,выцветать
atxsat- неп,выцветать
xaɲčke нареч,выше
waŋe- п1,вышивать
waŋeʔɬ- неп,вышивать
waŋeč сущ,вышивка
waŋe- п1,вышивкой украшать
waŋeʔɬ- неп,вышивкой украшать
fjal сущ,вьюга
koremt сущ,вьюк
xilχč сущ,вязание сетей
omtsx сущ,вязанка дров
omtat- п1,вязанки вязать
omtsxene- п1,вязать
omtat- п1,вязать несколько вязанок
ilwil- п1,вязать сеть
intχzesχ сущ,вязка вяленой лососевой икры
nezesx сущ,вязка гольцов
qulxum сущ,вязок (деталь нарты)
notan сущ,вяленая рыба
patol сущ,вяленое мясо
ənk'izwi- п1,вялить
ənk'izwit- п1,вялить
int'q'ɬ- неп,вянуть
k'isxɬ- неп,вянуть
jowaj сущ,гагара
qaqaqre сущ,гагара
uwiq сущ,гагара
gaz сущ,газ
gazеtaʔ сущ,газета
čxča- неп,галдеть
χisi- неп,галопом скакать
noʔŋqaʔɬ- п1,гасить
ɬfet- неп,гаснуть
oŋq- неп,гаснуть
oŋqsxen- неп,гаснуть
maʔ мест,где
gеolog сущ,геолог
iza- неп,гибнуть
gimn сущ,гимн
ɬnes сущ,глава
alat- п1,гладить
pilk'at- п1,гладить
gladeʔɬ- неп,гладить утюгом
iɬχlaχ прил,гладкий
iɬχq нареч,гладко
pslaŋsq нареч,гладко
loŋ сущ,глаз
ʎaŋočχ сущ,глаз
luʔl сущ,глаза
əɬč'erwaʔn сущ,глазные выделения
kelkel сущ,глас
glasnoj прил,гласный
