Русское слово,Ительменское слово,Часть речи
бисер,кәљљаʔњч,сущ
битва,лотʼԓхэном,сущ
битком набивать п1;,тнхэн-,
тхнот- п1;,тӽну-,п1
бить кова- п1; неп;,нэтԓӄэʔԓ-,
398,йуӄʼ,сущ
пищу,кʼухкʼ,сущ
березовый,ичʼʔин,прил
березовый нарост,чкәп,сущ
березовый подлесок,ичʼәмч,сущ
березовый сок,иʔмэмәм,сущ
берёзы,ичʼал,сущ
березы луб,ивкʼ,сущ
беременной быть,фԓ-,неп
береста,әнкʼсх,сущ
берестяная корзина,ачʼал,сущ
берестяной туес для молока,крэнкэйоԓхән,сущ
гольной формы,схзэмх,сущ
беречь,ӈиты-,п1
бес,ӽэӄэ,сущ
беседа,крвэԓхатас,сущ
беседовать,крвэԓхэт-,неп
беситься,дьэковаʔԓ-,неп
беспокоиться неп; п1;,крурэв-; кәʔӈԓ-; нытасхэн-,неп
беспорядочный,чиӈуӄэлаӽ,прил
беспутный,ԓапхачʼэраӈ,сущ
бесхвостый,аӈойкʼа,сущ
библиотека,библиотэка,сущ
библиотекарь,библиотэкар,сущ
тала- п1; талазо- п1; талат- п1; п1; п1; п1; п1; энатала-,тпәлзо-; тпәлл-; тхԓ-; узилэт-,
бить прутом,физваԓчэ-,неп
бить сильно,тхԓзо-,п1
битьем,нэтԓӄэʔԓ-,неп
благодарить п1;,ӄэчʼэԓэ-; ӄэчʼэԓэʔԓ-,п1
благодарность,ӄэчʼэԓном,сущ
благодать,мэлмэл,сущ
благодетель,мэлмэл; чʼэлыкиԓӽ,
благославленный прил;,кʼалваʼан; кʼалваʔан,прил
благославлять,аӈйа-,п1
благочестивый,лыԓи; ксуњԓʔин,
блажен(ный) мэл,кʼнытаʔин,
бледнеть,әмтх-,неп
бледный,атхлаӽ,прил
блеск,эԓвэрчом,сущ
блестеть неп; неп;,атхкʼза-; илэмзаӄʼԓ-; иԓвирчу-,неп
блестящий,кʼэԓвэрчоʔан,прил
ближе,тмалкэ,нареч
ближний,тмалʔан,прил
близкий прил;,тмаллаӽ; тмалʔан,прил
блоха,лӄпӽай,сущ
блудить,чʼафкра-,неп
блудница,чʼафкрам,сущ
икры,ӄәмтэӄ,сущ
картофеля,аофӄ,сущ
тюленьим жиром,килэкил,сущ
больница,әӈӄсхэʔԓном,сущ
больно йох межд;,кԓәӈӄсхи,нареч
больной,әӈӄсӽлаӽ,прил
Большая Медведица сущ;,аназʔан; ӈэззэʔњч; Ӄањчсӽ,сущ
больше,"плчэйэ,; пәлчэйэ",
большое село,тытӄс,сущ
большой прил; прил;,˚плаӽ; ӽопт,
блюдо из толченой свежей,эсӄчкин,прил
запеченное в печи,хљэп,сущ
большой бык,ламӈа,сущ
большой палец с.; сущ;,асолӈәӈ; ˚пнэӈаʔн; силӄсилӄ,"сущ, сущ"
блюдце,бљуцэн,сущ
бог сущ;,богачӽ; нустахчаӽ,сущ
богаство,амэлкэн,сущ
богато,нэксама,нареч
богатый прил;,накноӄэн; нэксамин,прил
богач,накноӄэн,сущ
бодрый,тӽивлаӽ,прил
бой,лотʼԓхэном,сущ
бок анкалвас сущ;,˚касоӈ,сущ
мужского капора,хʔавәм,сущ
боковой камус зимней обуви,касэӈʔан,сущ
боковые камусы зимней обуви,ксоʔн,сущ
болезнь,әӈӄсхном,сущ
болеть неп;,иствэ-; әӈӄсх-,неп
болото,ӄʼимтӄʼ,сущ
болтать,крвэԓхэт-,неп
болтаться,тʼэнӈат-,неп
боль,әӈӄсх,сущ
большой сибирский гуменник,фэнэс,сущ
большой спинной плавник рыбы,тәнзасӽ,сущ
борода,луʔвәл,сущ
бородой обрасти,луʔвилты-,неп
бороться,˚ԓиты-,неп
ботало,дьиӈљиӈљачӽ,сущ
ботинки,ботинкаʔн,сущ
бочка,бочкаʔ,сущ
боярышник,кәлласном,сущ
боярышника заросли,кәлласнал,сущ
бояться неп; хтэ-,ийакэʔԓ-,
браковать,эӄэл-,п1
брат сущ; силлатумх,ӄиткинэӈ,
брат старший,аља,сущ
брать п1; п1;,ԓ-; ԓит-; эхԓат-,п1
брать в плен,ԓинтскавэл-,п1
брать взаймы,ӄаӈԓат-,п1
брать двумя горстями,пклэлсхэн-,неп
брать клятву,ԓонаԓо-,п1
брать с собой еду,сисхэӈԓ-,неп
брать что-либо взаймы,ӄаӈԓә-,п1
бревно сущ;,брэвноʔ; уʔ,сущ
брезжить,ԓӈуну-,неп
брить,әнми-,п1
брови,тылтэʔн,сущ
бровь,тәлтәл,сущ
бродить неп; неп;,ансчʼа-; апсчʼат-; сэʔл-,неп
бродить по реке,тывљат-,неп
бродить по снегу,апсчʼат-,неп
бродни сущ;,бротнэʔн; ивлсӽэʔн,сущ
бродяга,чʼихилэрэӈ,сущ
п1; пахчозо- п1; ткил- п1; п1; ткит- п1;,ткиллэт-; ткәл-,п1
с.;,ткэтзо-,п1
бросаться неп;,пэнс-; пэнсэт-,неп
брус,мэкʼԓхән,сущ
временного летнего шалаша,кʼавʔуч,сущ
брусника,˚чэԓхчэԓх,сущ
брусок точильный,пнавŏм,сущ
брызгать ипсту- п1;,ипстуʔԓ-,неп
брызгаться неп;,ипԓӄэʔԓ-; ипстуʔԓ-,неп
брызги,ипстуʔн,сущ
брыкаться,ӄэпԓко-,п1
брюки,ӄува,сущ
брюхо вспарывать,нанӄайп-,п1
брюшко рыбье,кʼинкʼин,сущ
бубенчики для собак,хирвирвэчӽ,сущ
будить неп; п1; п1;,нәсхлэʔԓ-; әнсхԓи-; әнсхԓит-; әнсхԓэзо-,п1
буква,букваʔ,сущ
булка,булкаʔ,сущ
бульон с.;,аԓэс; эмкʼ,"сущ, сущ"
бумага,бумагаʔ,сущ
бурчать,ԓэруӈ-,неп
бусы,кәљљаʔњч,сущ
бутылка,бутылкаʔ,сущ
бык,˚кичʼэ,сущ
бык большой,ламӈа,сущ
быстро зива нареч; с.; нареч;,ныӄа; нычӽалӄ; хљоска,"нареч, нареч"
быстро нестись,чʼэтхла-,неп
быстро погружать,инсимпԓ-,неп
быстро течь,фсэʔԓ-,неп
быстрый быстрой прил;,ныкэлаӽ,
прил;,ныпвэӄин,прил
быть п1; ит- неп; неп; неп; тыл-,иԓ-; иткэʔԓ-; ԓ-,
быть беременной,фԓ-,неп
быть забывчивым,нэтхваʔԓ-,неп
быть завлеченным,кәмӈа-,неп
быть колючим,интхәлэʔԓ-,неп
быть надоедливым,нэмчʼкʼэлэʔԓ-,неп
быть победителем,анәњчхчаʔԓ-,неп
быть помощником,инәнкʼзуʔԓ-,неп
быть растяпой,ныкԓфаʔԓ-,неп
быть с кем-то совместно,чʼэʔԓ-,п1
быть чувствительным,әнзлэʔԓ-,неп
в нареч;,чәск; чәскэ,нареч
в воде растворять,әнтэвэлэт-,п1
в дорогу собираться,сисхэӈԓ-,неп
в лес с.;,зэнкоӈ; сэнкэ,"нареч, нареч"
в лесочек,сэњчкэ,нареч
в одиночестве,њаачиԓ,нареч
в одиночку,фињњатԓ,мест
в позапрошлом году,тʼаԓананк,
нареч;,хиʔихлту,нареч
в последний раз,посљэтњой,нареч
в прошлом году,ихԓту,нареч
в середине,кӑннэнк,нареч
в середину,кӑннэнкэ,нареч
в центре,кӑннэнк,нареч
в центру,кӑннэнкэ,нареч
валенки,ваљэнкаʔн,сущ
валить п1;,әнтԓки-; әнтԓкист-,п1
валяет дурака,аӈӄансӽлаӽ,прил
валять дурака неп;,аӈӄансхэн-; локавэʔԓ-,неп
варежки,лыʔл,сущ
вареная рыба,пʼахпʼаӈ,сущ
"вареная, чуть подвяленная рыба",сэваʔн,сущ
варить коказо- с.;,кукэ-,п1
вас,тузаʔн,мест
вата,лопчотәм,сущ
вбивать,әмпԓи-,п1
вброд,ԓалаӈ,нареч
вверх ванчк с.; нареч;,ханкэ; хањчкэ,нареч
разделки,ктскиԓ,нареч
вверх поднимать,әнсху-,п1
вверху (по течению),вањчк,нареч
с.;,хањчк,нареч
ввести,тэвата-,п2
вводить п1; ˚ты-,ԓинчʼэӈ-,
вдалеке нареч;,мэчʼак; тʼаԓк,нареч
вдоволь нареч; нареч;,"амамʔйоӄ; мэйим,; мэйэӈ; әмптова",нареч
вдребезги,әнкʼолсхэн-,п1
ведро сущ;,вэдро; эʔйоԓхэн,сущ
вежливый,вэжливой,прил
везде,вэздэʔ,нареч
веко,лалпсноӈ,сущ
великан,лэчʼиӽ,сущ
великий,˚плаӽ,прил
величина,пәлвәрвән,сущ
вена,тйотйәм,сущ
веник,малэнәӈ,сущ
вера,ԓмаԓэс,сущ
веревка сущ;,лыԓч; фӑсӽт,сущ
верить п1;,вэрит; иԓ-; ԓмаԓу; иԓ-,"п1, п1"
верно нареч;,лыԓи; чӈиԓ,нареч
верный,клыԓʔин,прил
вероятно,ӄэй,нареч
вертеть,әнкʼэлэ-,п1
вертеться,кʼилы-,неп
вертикально ставить,әнтӽзуʔԓ-,п1
вертолёт,вэртољот,сущ
верующий,кԓмаԓʔан,прил
Верхнее Хайрюзово,˚Плаӽаʔн,собств
верхний,ханʔан,прил
верхушка дерева,оԓхэн,сущ
вершина,оԓхэн,сущ
вершина дерева,чкаԓхән,сущ
"вершина сопки, горы",ктхэԓхән,сущ
веселить,әнхаймаӈто-,п1
веселиться с.;,ваймаӈто-; хаймаӈто-,"неп, неп"
весёлый,вэсолой,прил
весло сущ;,апчʼкʼәл; тэймэнŏӈ,сущ
веслом грести,тэймэ-,неп
вести,ԓэкԓалэв-,п1
вести кого-либо,әнсаԓт-,п1
вести холостой образ жизни,ӽољат-,неп
вестник,ампэлаʔԓкаԓӽ,сущ
весть,ампэланом,сущ
весь вэс сущ; сущ; туты,миԓ,
ветер,спәл,сущ
ветер к заморозку,хивәс,сущ
ветер курильский,нынэʔ,сущ
ветер усиливается,ӄэп-,неп
ветеринар,вэтэринар,сущ
ветка,сӈак,сущ
ветла сущ;,китхԓ; китхԓ,"сущ, сущ"
ветхий,утхлаӽ,прил
ветхо,утхӄ,нареч
веха сущ;,илылэч; кэӈч,сущ
вечер,тхункәм,сущ
вечерний ветер к заморозку,хивәс,сущ
вечерный,тхунʔин,прил
вечно нареч; нареч;,вэчно; кәњчпаԓ; ӄуʔнэӈэʔн,нареч
вечный прил; прил;,кәњчпаԓән; ӄуʔнэӈэлаӽ; ӄуʔнэӈэʔин,прил
вешала,ӈэлпэʔн,сущ
вешалка,вэсалкаʔ,сущ
вешалка для рыбы,вэсалкалӈин,сущ
вешалка-крючок для сети,чʼәмкэчӽ,сущ
вешать п1;,әнтʼэнӈа-; әнтʼэӈат-,п1
взаймы,взаймаʔ,нареч
взаймы брать п1;,ӄаӈԓат-; ӄаӈԓә-,п1
вздуть,нэпайса-,п1
взрослый медведь-самец,йаӈсалан,сущ
взять в рот (пищу),ачплэ-,неп
взять двумя горстями,пклэл-,п2
вид повседневной обуви,аԓэʔн,сущ
вид толкуши,чʼрутх,сущ
видеть п1; с.;,ԓчку-; әљчку-; әԓчку-,"п1, п1"
видеть сон,рэтла-,неп
видимый прил; лэ-,тэпәлаӽ; тэпәл,
визгливо смеяться,чʼэхрота-,неп
вилка,чʼомӄэчӽ,сущ
вилы,нэӈэʔԓном,сущ
висеть неп;,тʼэнӈэ-; тʼэнӈат-,неп
висок,тʼизимч,сущ
вить,әнкаврал-,п1
вкусно,чʼэвэсӄ,
вкусно есть,чӽамԓ-,неп
вкусно очень,кԓчʼэвэзэ,нареч
вкусный,чʼэвэзлаӽ,прил
влажный прил;,чӄлаӽ; эљвэљаӽ,прил
власть,ӄʼэфӄʼэф,сущ
влево,сичʼэӈанкэ,нареч
влево (команда собакам),хувэ,межд
влезать,чʼэ-,неп
вместе иву- неп; нареч; омоком,кчʼэʔԓʔин;; омакаӈ,
вмещать,чʼэ-,неп
вмещаться,әзва-,неп
внести,тэвата-,п2
вниз А;,тнўмкэ,нареч
вниз по течению фи- неп;,эйанкэ,нареч
внук,кӑмлон,сущ
внутри,чәск,нареч
внутрь,чәскэ,нареч
внучка,кӑмлон,сущ
вода,иʔ,сущ
"вода, выступающая поверх льда",эʔрумʔэрум,сущ
водить п1;,ԓэкԓалэв-; ԓэнԓалэзоӈ-,п1
водичка,иʔахчаӽ,сущ
водка,иʔахчаӽ,сущ
воду набирать,тӈәлэт-,п1
воду черпать,тӈил-,неп
воды в рот набирать,иʔнум-,неп
воды глоток,иʔнум,сущ
воды таскать,икәнсфԓ-,неп
водянка (болезнь),иʔэӄэн,сущ
водяной зофсх сущ;,ксӽзоʔас,сущ
водяной чумок,атслаӈ,сущ
воевать,лутʼԓхэ-,неп
вожделение,чʼафкраном,сущ
возвещать,ампэлаʔԓ-,неп
илвизист- неп; илвизит- неп;,әлызи-,неп
возглас облегчения,эфуфэ,межд
возить п1; неп; п1; п1; п2;,ԓэнԓалэзоӈ-; нәнтхлаʔԓ-; тымпԓ-; тымпԓэт-; әнтхла-; әнтхлат-,п2
возить дрова неп;,ӈил-; ӈинсхэʔԓ-,
неп;,ӈэлхсԓ-,неп
возлюбленный,клфтэʔан;; ӽэлулан,сущ
вознаграждение,ињчзум,сущ
возражать,илкʼэст-,неп
возьми,тлэ,межд
воин,кʼлутʼԓхэʔин,
война,лотʼԓхэном,сущ
волгнуть,илэвэ-,неп
волк,хивнэ,сущ
волноваться неп;,валэʔԓ-; крурэв-,
неп;,нытасхэн-,неп
волны,валаʔн,сущ
волокно,тԓвал,сущ
волос человеческий,кʼимкʼим,сущ
волосами обрастать,этԓхтэ-,неп
волчий,хивнэʔин,
волчок,тәнкʼэл,сущ
воображать,ӄамзаʔњԓ-,неп
"вообще, так",киԓви,нареч
вооружённый,кпойтәлʔан,
вор,чʼируӄ,
воровать,ањчхчаӈ-,неп
воровать (о животных),кʼэквиʔԓ-,неп
ворон,ӽэʔӄʼԓх,сущ
ворон старый,фэʔаӄԓӽ,сущ
ворона,˚ӄлаӄԓӽ,сущ
ворочаться неп;,чухԓ-; чʼувиʔԓ-,неп
ворчать,ԓэруӈ-,неп
восемь,чоʔоктунук,
воскресенье воскресенье сущ;,эзлэном,сущ
воспитывать,тхәʔњԓ-,п1
воспоминание,тхэԓном,сущ
восстание,тэкэйном,сущ
восток,атхсанŏм,сущ
восточный,атхсаноʔан,прил
вот неудача!,ӄэтэвʔин,межд
вот скоро,хаԓч,нареч
вот уж,ӄаʔтʔин,нареч
вошь,фачʼик,сущ
вперед,кԓфәњчкэ,нареч
вперед пронести,әнпэскоз-,п1
впереди,кԓфәњчк,нареч
вплести,тӽз-,п1
вправо,хтоӈанкэ,
впрок запасать,әнкаӈԓат-,п1
впрочем,кәʔмхаԓ,союз
враг,ӽаӄэлан,сущ
врач,кљэчэʔԓʔин,
вредить неп;,ањчхчаӈ-; ԓисхэпи-,неп
вредничать неп;,ԓивэклын-; ԓисхэпи-,неп
временная сушилка,итэвом,сущ
время сущ; инхт сущ;,врэмэ; хаԓч,
нареч; В.,эткуԓ,сущ
все время,водьэрэн,нареч
Всевышний,Кԓʔасаӈаʔн,
всегда с.;,водьэрэн; вэчно,нареч
нареч;,ӄуʔнэӈэʔн,нареч
всей гурьбой,ӄуњэӈ,нареч
вселенная сущ;,атхʔатх; мслэлӈән,сущ
всемирный,атхʔатхчан,прил
всесильный,кԓӄʼэваӈаʔн,прил
вскармливать,тхәʔњԓ-,п1
вскрик учучух межд;,эӄэӄэ,межд
вскрывать,әмпʼӄʼа-,п1
вскрываться,әлп-,неп
вслух,тэпәл,нареч
всовывать внутрь,тэԓэт-,п1
всплескивать,ипәԓӄэ-,неп
вспоминать п1; п2;,ԓныта-; тхиԓэт-,
вспоминая прошлое,имсӄʼэʔԓки,нареч
вспомнить,тхиԓ-,п2
вспрывать брюхо,нанӄайп-,п1
вспыльчивый,ӄэӄчʼулаӽ,прил
вставать неп; тат- неп;,ӈэлп-; тэкэй-,неп
вставать дыбом,сәӈра-,неп
вставка в рукавице сущ;,кинэнлытʼин; чʼирэвэнәӈ,сущ
вставлять,тэԓ-,п1
встать помочь,әнткэʔԓ-,п1
встречаться йавна- с.;,лувнэ-,
всякий прил;,љэњиԓʔан; мныԓʔан,
имущество,варнаʔн,сущ
второй,тʼилӈин,прил
второпях,амсанэӄ,нареч
второпях сварить,әнфайвазо-,п1
втыкать п1;,әмпԓи-; әнсхпԓ-,п1
вулкан Ю.;,аигитэскик,сущ
вход,чʼэном,сущ
вход в запор,хчʼэс,сущ
входить неп; п1;,чʼэ-; чʼэт-; чʼэтыт-,неп
вчера нареч; фчора,ачињчк,
вчерашний,ачињчʼан,прил
вшей искать,ињԓ-,п1
вы,тузаʔн,мест
выбивать пыль,тпәлзот-,п1
выбиваться из сил ват- неп;,ватсхэн-,неп
выбирать инчил- п2;,инчилэʔԓ-,
выборы,выбораʔн,сущ
выбрасывать ткил- п1;,ткиллэт-,
п1; п1; п1;,ткэтзо-; әнтʼлэʔԓ-; әнхәркэ-,п1
выбрать,чэлата-,п2
вываливаться,кԓф-,неп
выветриться,сӄасо-,неп
вывихнуть п1;,лопләмзо-; лопләмзотә-,п1
выворачивать наизнанку тл- п1;,тлэт-,п1
выглядывать неп;,тәнза-; тәнзат-,неп
выговаривать слова,әллат-,п1
выгонять айтат- п1;,айтатэт-,п1
выгружать,әмп-,п1
выгружать(ся),ныӈиʔԓ-,неп
выдавать замуж,ԓинӄамзант-,п1
выделанная оленья кожа,чʼираӄәл,сущ
выделение из ушей,аʔлот,сущ
выделения глазные,әԓчʼэрваʔн,сущ
выделкой шкур заниматься,˚наԓэʔԓ-,неп
выделывать шкуру п1; пл-,наԓ-,
п1;,плэʔԓ-,неп
выделяться,ԓваԓтэ-,неп
выдерживать,чʼлаʔ-,п1
выдра сущ; сущ;,видрэʔ; ӈэԓэӈԓх; әњԓиӈ,сущ
выдумывать п1;,˚кʼэнэзи-; тхиԓэт-,п2
выздоравливать неп; неп;,ӄэчиси-; ӄэчисит-; мэлэ-,неп
выздороветь,хсозалэ-,неп
вызывать,очʼ-,п1
на откровенность,ԓинпанэнайпа-,п1
вызывающий жажду,икʼсхулаӽ,прил
выигрывать неп; неп;,инэвэтэ-; инэвэтэт-; әњчхча-,п1
выколачивать,тпәлзот-,п1
выкоывать,тхԓэт-,п1
выкрасить в красное,әњчʼачʼала-,п1
выкройка анманом сущ;,ԓэлэнŏм,сущ
вылечить,әнмэл-,п1
вылизывать п1;,томэт-; чʼмил-,п1
вымокнуть в воде,тханэ-,неп
вымыть,ләм-,п1
вынимать п1;,әнтхс-; әнтхсит-,п1
выносить,тыӈ-,п1
выпадать неп;,кԓф-; лэʔлэмты-,неп
выплевывать,иԓхэњчкэ-,п1
выпрямлять,әнвэтвав-,п1
выпрямляться,вэтвэт-,неп
выпускать п1;,әнкси-; әнӄсит-,п1
выработать,вэтат-,п1
выравнивать,әнвэтвав-,п1
вырастать,эсӽтэ-,неп
выращивать,әнсӽт-,п1
вырываться,ӄси-,неп
высаживаться,энэсэ-,неп
высасывать кровь,чʼисхуӈ-,п1
высекать огонь,эʔӈлэт-,неп
выслеживать п1;,ԓинԓкзэ-; ԓињԓкз-,п1
высматриваться,ԓчкуст-,п1
высмеивать п1;,ԓиӈвэйу; иԓ-; ԓиӈ; иԓ-,"п1, п1"
высокий,аслаӽ,прил
высокий берег,иʔњԓәм,сущ
высоко,асӄ,нареч
высокое место,асʔас,сущ
обзором,твэстэвном,сущ
высота асаран сущ; асварван сущ;,асʔас,сущ
выспаться,нэпэлхо-,неп
выставка,выставкаʔ,сущ
выстрелить,әњчӄа-,п1
высыпать инс- п1;,әњчхэӈ-,п1
высыпаться неп;,итнэ-; чхиӈ-,неп
высыхать,кʼисхԓэт-,неп
высыхать сильно,кʼисхԓны-,неп
вытапливать жир,фчʼэз-,п1
вытаскивать ю.; тын- п1; с.; п1;,тхуӈ-; әнтс-; әнтхс-; әнтхсит-,"п1, п1, п1"
вытворять,чʼэл-,п2
вытирать неп; п1; п1;,анԓхаԓ-; ԓха-; ԓхазо-; ԓхат-,п1
вытираться,ԓхазо-,неп
вытопки жира,фчʼэс,сущ
вытряхивать п1; п1;,ԓинтплэ-; ԓинтплэт-; ԓэнтплэзо-,п1
вытягивать ю.;,тхуӈ-; тхуӈэт-,"неп, п1"
вытягиваться,схоӈ-,неп
вытянуть руки,әнамчэтә-,п1
вытянуться пла- неп;,ӽамтзи-,неп
выхватывать,пхакԓ-,неп
выход,ӽомстнŏм,сущ
выходить неп; эс-,ӽумст-,
выходить замуж неп;,ӄамзантэ-; ӄамзантэт-,неп
выходить из себя неп;,ӽаӄанʔэ-; ӽаӄэны-,неп
выходить на лед,эʔрма-,неп
выше,хањчкэ,нареч
вышивать п1;,ваӈэ-; ваӈэʔԓ-,неп
вышивка,ваӈэч,сущ
вышивкой украшать п1;,ваӈэ-; ваӈэʔԓ-,неп
вьюк,корэмт,сущ
вязание сетей,хилӽч,сущ
вязать,омтсхэнэ-,п1
вязка вяленой лососевой икры,интӽзэсӽ,сущ
вязка гольцов,нэзэсх,сущ
вязок (деталь нарты),ӄулхум,сущ
вялить п1;,әнкʼизви-; әнкʼизвит-,п1
вянуть неп;,интʼӄʼԓ-; кʼисхԓ-,неп
гагара йовай сущ; сущ;,ӄаӄаӄрэ; увиӄ,сущ
газета,газетаʔ,сущ
галопом скакать,ӽиси-,неп
гасить,ноʔӈӄаʔԓ-,п1
гаснуть неп; неп;,ԓфэт-; оӈӄ-; оӈӄсхэн-,неп
где,маʔ,мест
глава,ԓнэс,сущ
гладить алат- п1;,пилкʼат-,п1
гладить утюгом,гладэʔԓ-,неп
гладкий,иԓӽлаӽ,прил
гладко нареч;,иԓӽӄ; пслаӈсӄ,нареч
глаз сущ;,лоӈ; љаӈочӽ,сущ
глаза,луʔл,сущ
глазные выделения,әԓчʼэрваʔн,сущ
глас,кэлкэл,сущ
глотать п1; неп;,нәмтʼл-; нәфәлкʼа-; тӽлэтэ-,п1
глотать жадно,әнфилкʼа-,п1
глотать с жадностью,нәфәлкʼа-,неп
глоток воды,иʔнум,сущ
глохнуть,илукэтә-,неп
глубина амварван сущ;,˚амʔам,сущ
глубокий ˚ам- А;,˚амлаӽ,прил
глубоко ˚ам- А;,˚амӄ,нареч
глубокое место,˚амʔам,сущ
глупец,вәлпу,сущ
глухарь сущ;,алоӄԓчʼәм; ˚кўнхт,
сущ;,кәнфс,сущ
глухой,алоӄԓчʼәм,сущ
гнать рыбу в запор,имзатэʔԓэ-,п1
гнев сущ;,ӽаӄанварван; ӽэӄэвйэп,сущ
гнездиться,аʔасх-,неп
гнездо,˚аʔасх,сущ
гнилой,ксуӄкнэн,
гнить неп; неп;,суӄ-; суӄэт-; тʼԓа-,неп
гноиться неп;,ӈилкты-; скʼалтэ-,неп
гной сущ;,ӈилкӈилк; скʼал,сущ
гнойник,скʼалэмч,сущ
гнус,чэмэйкэ,сущ
гнуть,˚наԓ-,п1
гнуться,˚наԓ-,неп
говорить анла- неп;,крвэԓхэт-,
неп; ла- п2; п1;,ԓо-; ӽэнэ-,неп
говорить серьезно,әнʔи-,п1
годный,ӄэчиԓан,прил
голенище торбаса,сӽныӈ,сущ
голец с.;,виԓикʼэчӽ; вәԓч,сущ
сущ с.; систхил сущ; сущ; сущ;,фачӄ; фиԓикʼ; фԓич,сущ
голец запеченный,чупэркʼэ,сущ
голец мелкий,кэтʼил,сущ
голова сущ;,ктхиӈ; кәмтʼӄол,сущ
с.;,чаӄол,сущ
голова рыбы лыч с.;,хэвлыч,сущ
головешка,ситԓх,сущ
головки торбазов,тʼозмаʔн,сущ
головной мозг,аʔйувʔай,сущ
головы часть,чаӄолтʼәл,сущ
голод,пилвэпил,сущ
голодающий,пилвэпилʔан,сущ
голодное место,ксхләтном,сущ
голодный,ксхләтʼин,прил
голубика сущ;,лыӈил; лэӈэлном,сущ
гольчик,фиԓикэчӽ,сущ
гоняться,анчанзоʔԓ-,неп
гора намуд Ю.;,ӈэйӈэ,сущ
горбиться неп;,изусэ-; ӄэвчэʔԓ-,
неп; неп; тхап-,пэсчкԓ-,
горбуша сущ;,горбускэʔ; ӄэвуч,
сущ;,ӄэфч,сущ
гордиться,гордэʔԓ-,неп
горе,әмчʼәмчʼ,сущ
горевать,әмчʼла-,неп
горелое место,кʼвакʼвум,сущ
гореть п1; лу-,кʼвакʼ-,
гореть сильно неп;,крәват-,
горечь,әмчʼәмчʼ,сущ
гористая местность,ӈэйӈал,сущ
горло,кʼикʼ,сущ
горловой вырез одежды,кʼикʼ,сущ
горностай,иʔнаӄ,сущ
горный,ӈэйӈэʔин,прил
горный баран,ӄтэп,сущ
горный хребет,ӈэйӈал,сущ
горсть сущ; п2; сущ;,манзэсх; пклэл-; пклэл; пклэлсхэн-,неп
гортань,кʼикʼәлвич,сущ
горчить неп;,крэ-; әмчʼа-,неп
горшок,аʔаԓо-,неп
горы,ӈэйӈал,сущ
горы подошва,чоԓхән,сущ
горький,әмчʼлаӽ,прил
горько межд;,әмчʼаӄ(а); әмчʼӄ,нареч
горячая,ӄилхэм,сущ
горячий,хкалаӽ,прил
горячиться,чән-,неп
горячо,хкаӄ,нареч
Господь,Айэрэм,сущ
гостей принимать,ӄэз-,п2
гостинец,гостинцаʔ,сущ
гостиница,этӽэлном,сущ
гостить неп;,итӽил-; нәмтэлэ-,неп
гость,˚тʼуԓӽ,сущ
грабить,чʼэӄаԓил-,п1
грабли,грабљаʔ,сущ
грамотный прил;,нмитӄэн; нтытылаӽ,прил
граница,границаʔ,сущ
гребень,тхәмтх,сущ
