russian,itelmen,part of speech
беседовать,krwэɬxэt-,неп
беситься,d'эkowaʔɬ-,неп
беспокоить,inmisin-,неп
беспокоиться,krurэw- неп; kəʔŋɬ- п1; nitasxэn- неп,multiple translations
беспорядочный,čiŋuqэlaχ,прил
беспутный,ɬapxač'эraŋ,сущ
бесхвостый,aŋojk'a,сущ
библиотека,бiбliotэka,сущ
библиотекарь,бiбliotэkar сущ tala- п1; talazo- п1; talat- п1; tpəlzo- п1; tpəll- п1; txɬ- п1; uzilэt- п1; эnatala- неп с.,multiple translations
бить в бубен,jajarčo-,неп
бить за непослушание,xuxula-,п1
бить прутом,fizwaɬčэ-,неп
бить сильно,txɬzo-,п1
битьем,nэtɬqэʔɬ-,неп
благодарить,qэč'эɬэ- п1; qэč'эɬэʔɬ- п1,multiple translations
благодарность,qэč'эɬnom,сущ
благодать,mэlmэl,сущ
благославленный,k'alwaʼan прил; k'alwaʔan прил,multiple translations
благославлять,aŋja-,п1
бледнеть,əmtx-,неп
бледный,atxlaχ,прил
блеск,эɬwэrčom,сущ
блестеть,atxk'za- неп; ilэmzaq'ɬ- неп; iɬwirču- неп,multiple translations
блестящий,k'эɬwэrčoʔan,прил
ближе,tmalkэ,нареч
ближний,tmalʔan,прил
близкий,tmallaχ прил; tmalʔan прил,multiple translations
близко,tmalk нареч; tmal нареч,multiple translations
блоха,lqpχaj,сущ
блудить,č'afkra-,неп
блудница,č'afkram,сущ
блуждать,čxilli- неп; čxillit- неп,multiple translations
икры,qəmtэq,сущ
картофеля,aofq,сущ
тюленьим жиром,kilэkil,сущ
больница,əŋqsxэʔɬnom,сущ
больно,jox межд; kɬəŋqsxi нареч,multiple translations
больной,əŋqsχlaχ,прил
Большая Медведица,anazʔan ŋэzzэʔɲč сущ; Ӄaɲčsχ сущ,multiple translations
большая муха,kumisx,сущ
Большерецк,Кixsяj Ю.,собств
большое село,titqs,сущ
большой,ʷplaχ прил; χopt прил;,multiple translations
блюдо из толченой свежей,эsqčkin,прил
запеченное в печи,xʎэp,сущ
большой бык,lamŋa,сущ
большой каменный круг,sonzalx,сущ
большой палец,asolŋəŋ сущ с.; ʷpnэŋaʔn сущ; silqsilq сущ timkč сущ,multiple translations
блюдце,бʎuцэn,сущ
бог,бogačχ сущ; nustaxčaχ сущ,multiple translations
богаство,amэlkэn,сущ
богато,nэksama,нареч
богатство,aknos,сущ
богатый,naknoqэn прил; nэksamin прил,multiple translations
богач,naknoqэn,сущ
бодрый,tχiwlaχ,прил
бой,lot'ɬxэnom,сущ
бок,ankalwas сущ; ʷkasoŋ сущ,multiple translations
мужского капора,xʔawəm,сущ
боковой камус зимней обуви,kasэŋʔan,сущ
боковые камусы зимней обуви,ksoʔn,сущ
болезнь,əŋqsxnom,сущ
болеть,istwэ- неп; əŋqsx- неп,multiple translations
болото,q'imtq',сущ
болтать,krwэɬxэt-,неп
болтаться,t'эnŋat-,неп
боль,əŋqsx,сущ
боль в боку,ankalwas,сущ
большой сибирский гуменник,fэnэs,сущ
большой спинной плавник рыбы,tənzasχ,сущ
борода,luʔwəl,сущ
бородой обрасти,luʔwilti-,неп
бороться,ʷɬiti-,неп
борщевик,katx,сущ
ботало,d'iŋʎiŋʎačχ,сущ
ботинки,бotinkaʔn,сущ
бочка,бočkaʔ,сущ
боярышник,kəllasnom,сущ
боярышника заросли,kəllasnal,сущ
бояться,ijakэʔɬ- неп; xtэ- п1,multiple translations
браковать,эqэl-,п1
брат,"qitkinэŋ сущ; sillatumx сущ; tiя сущ В., Ю.",multiple translations
брат старший,aʎa,сущ
брать,ɬ- п1; ɬit- п1; эxɬat- п1,multiple translations
брать в плен,ɬintskawэl-,п1
брать взаймы,qaŋɬat-,п1
брать двумя горстями,pklэlsxэn-,неп
брать клятву,ɬonaɬo-,п1
брать с собой еду,sisxэŋɬ-,неп
брать что-либо взаймы,qaŋɬə-,п1
бревно,бrэwnoʔ сущ; uʔ сущ,multiple translations
бредить,sэl-,неп
брезжить,ɬŋunu-,неп
бригада,бrigada,сущ
брить,ənmi-,п1
брови,tiltэʔn,сущ
бровь,təltəl,сущ
бродить,ansč'a- неп; apsč'at- неп; sэʔl- неп,multiple translations
бродить по реке,tiwʎat-,неп
бродить по снегу,apsč'at-,неп
бродни,бrotnэʔn сущ; iwlsχэʔn сущ,multiple translations
бродяга,č'ixilэrэŋ,сущ
бросать,inoms- неп; paxčo- п1; paxčozo- п1; tkil- п1; tkillэt- п1; tkit- п1; tkəl- п1 с.; tkэtzo- п1,multiple translations
бросаться,pэns- неп; pэnsэt- неп,multiple translations
брус,mэk'ɬxən,сущ
временного летнего шалаша,k'awʔuč,сущ
брусника,ʷčэɬxčэɬx,сущ
брусок точильный,pnawŏm,сущ
брызгать,ipstu- п1; ipstuʔɬ- неп,multiple translations
брызгаться,ipɬqэʔɬ- неп; ipstuʔɬ- неп,multiple translations
брызги,ipstuʔn,сущ
брыкаться,qэpɬko-,п1
брюки,quwa,сущ
брюхо вспарывать,nanqajp-,п1
брючный ремень,sit,сущ
брюшко рыбье,k'ink'in,сущ
бубен,jajar,сущ
бубен бить,jajarčo-,неп
бубенчики для собак,xirwirwэčχ,сущ
бугор,эskp,сущ
будить,nəsxlэʔɬ- неп; ənsxɬi- п1; ənsxɬit- п1; ənsxɬэzo- п1,multiple translations
бузины заросли,pukkal,сущ
букашка,бukiska,сущ
буква,бukwaʔ,сущ
букварь,бukwar',сущ
булка,бulkaʔ,сущ
бульон,aɬэs сущ с.; эmk' сущ,multiple translations
бумага,бumagaʔ,сущ
бумажный,бumaжnoj,прил
буран,fjal,сущ
бурчать,ɬэruŋ-,неп
буря,fjal,сущ
бусы,kəʎʎaʔɲč,сущ
бутылка,бutilkaʔ,сущ
бык,ʷkič'э,сущ
бык большой,lamŋa,сущ
быстро,ziwa нареч; niqa нареч с.; ničχalq нареч; xʎoska нареч,multiple translations
быстро нестись,č'эtxla-,неп
быстро погружать,insimpɬ-,неп
быстро течь,fsэʔɬ-,неп
быстрый,бɨstroj прил; nikэlaχ прил; nipwэqin прил с.,multiple translations
быть,iɬ- п1; it- неп; itkэʔɬ- неп; ɬ- неп; til- п2,multiple translations
быть беременной,fɬ-,неп
быть в наличии,či-,неп
быть забывчивым,nэtxwaʔɬ-,неп
быть завлеченным,kəmŋa-,неп
быть колючим,intxəlэʔɬ-,неп
быть надоедливым,nэmč'k'эlэʔɬ-,неп
быть не в состоянии,utu-,неп
быть победителем,anəɲčxčaʔɬ-,неп
быть помощником,inənk'zuʔɬ-,неп
быть растяпой,nikɬfaʔɬ-,неп
быть с кем-то совместно,č'эʔɬ-,п1
быть чувствительным,ənzlэʔɬ-,неп
в,čəsk нареч; čəskэ нареч,multiple translations
в воде растворять,əntэwэlэt-,п1
в дорогу собираться,sisxэŋɬ-,неп
в лес,zэnkoŋ нареч с.; sэnkэ нареч,multiple translations
в лесочек,sэɲčkэ,нареч
в лесу,sink,нареч
"в лесу, в лес",zin-,А
"в лесу, в лес, из леса, лесной",sin-,А
в одиночестве,ɲaačiɬ,нареч
в одиночку,fiɲɲatɬ,мест
в позапрошлом году,t'aɬanank нареч; xiʔixltu нареч,multiple translations
в последний раз,posʎэtɲoj,нареч
в прошлом году,ixɬtu,нареч
в середине,kӑnnэnk,нареч
в середину,kӑnnэnkэ,нареч
в центре,kӑnnэnk,нареч
в центру,kӑnnэnkэ,нареч
важный,waжnoj,прил
валенки,waʎэnkaʔn,сущ
валить,əntɬki- п1; əntɬkist- п1,multiple translations
вальдшнеп,saknom,сущ
валяет дурака,aŋqansχlaχ,прил
валять дурака,aŋqansxэn- неп; lokawэʔɬ- неп,multiple translations
варежки,liʔl,сущ
вареная рыба,p'axp'aŋ,сущ
"вареная, чуть подвяленная рыба",sэwaʔn,сущ
варженка (деталь нарты),warжin,сущ
варить,kokazo- п1 с.; kukэ- п1,multiple translations
варить немного,kokala-,неп
варить постоянно,kokazo-,неп
или в большом количестве,kokazo-,п1
вас,tuzaʔn,мест
вата,lopčotəm,сущ
вбивать,əmpɬi-,п1
вброд,ɬalaŋ,нареч
вверх,wančk нареч с.; xankэ нареч; xaɲčkэ нареч,multiple translations
разделки,ktskiɬ,нареч
вверх поднимать,ənsxu-,п1
вверху,wank нареч с.; xank нареч,multiple translations
вверху (по течению),waɲčk нареч с.; xaɲčk нареч,multiple translations
ввести,tэwata-,п2
вводить,ɬinč'эŋ- п1; ʷti- п2,multiple translations
вдалеке,mэč'ak нареч; t'aɬk нареч,multiple translations
вдевать нитку в иголку,sča-,п1
вдоволь,"amamʔjoq нареч; mэjim, mэjэŋ нареч; əmptowa нареч",multiple translations
вдребезги,ənk'olsxэn-,п1
вдруг,xorowal,нареч
ведро,wэdro сущ; эʔjoɬxэn сущ,multiple translations
ведь,imt,межд
вежливый,wэжliwoj,прил
везде,wэzdэʔ,нареч
веко,lalpsnoŋ,сущ
велеть,iti- п1; lawata- п2,multiple translations
великан,lэč'iχ,сущ
великий,ʷplaχ,прил
величина,pəlwərwən,сущ
вена,tjotjəm,сущ
веник,malэnəŋ,сущ
вера,ɬmaɬэs,сущ
веревка,liɬč сущ; fӑsχt сущ,multiple translations
веревка бата лодки,tupusin,сущ
верить вэрит,iɬ- п1; ɬmaɬu iɬ- п1,multiple translations
верно,liɬi нареч; čŋiɬ нареч,multiple translations
вернуться,ilwizi-,неп
верный,kliɬʔin,прил
вероятно,qэj,нареч
вертеть,ənk'эlэ-,п1
вертеться,k'ili-,неп
вертикально ставить,əntχzuʔɬ-,п1
вертолёт,wэrtoʎot,сущ
верующий,kɬmaɬʔan,прил
Верхнее Хайрюзово,ʷПlaχaʔn,собств
верхний,xanʔan,прил
крывающая темень,kzixč,сущ
верхом,xanzozwa,нареч
верхушка дерева,oɬxэn,сущ
вершина,oɬxэn,сущ
вершина дерева,čkaɬxən,сущ
"вершина сопки, горы",ktxэɬxən,сущ
веселить,ənxajmaŋto-,п1
веселиться,wajmaŋto- неп с.; xajmaŋto- неп,multiple translations
весело,wajma нареч; nwajma- нареч с.,multiple translations
весёлый,wэsoloj,прил
весло,apč'k'əl сущ; tэjmэnŏŋ сущ,multiple translations
веслом грести,tэjmэ-,неп
весна,kaxtan,сущ
весной,anok,нареч
вести,ɬэkɬalэw-,п1
вести кого-либо,ənsaɬt-,п1
вести холостой образ жизни,χoʎat-,неп
вестник,ampэlaʔɬkaɬχ,сущ
весть,ampэlanom,сущ
весь,wэs сущ; miɬ сущ; tuti нареч,multiple translations
ветер,spəl,сущ
ветер к заморозку,xiwəs,сущ
ветер курильский,ninэʔ,сущ
ветер усиливается,qэp-,неп
ветер южный,rirwun,сущ
ветеринар,wэtэrinar,сущ
ветка,sŋak,сущ
ветла,kitxɬ сущ; kitxɬ сущ,multiple translations
ветхий,utxlaχ,прил
ветхо,utxq,нареч
веха,ililэč сущ; kэŋč сущ,multiple translations
вечер,txunkəm,сущ
вечерний ветер к заморозку,xiwəs,сущ
вечерный,txunʔin,прил
вечно,wэčno нареч; kəɲčpaɬ нареч; quʔnэŋэʔn нареч,multiple translations
вечный,kəɲčpaɬən прил; quʔnэŋэlaχ прил; quʔnэŋэʔin прил,multiple translations
вешала,ŋэlpэʔn,сущ
вешалка,wэsalkaʔ,сущ
вешалка для рыбы,wэsalkalŋin,сущ
вешалка-крючок для сети,č'əmkэčχ,сущ
вешать,ənt'эnŋa- п1; ənt'эŋat- п1,multiple translations
взади,zalk,нареч
взаймы,wzajmaʔ,нареч
взаймы брать,qaŋɬat- п1; qaŋɬə- п1,multiple translations
взбираться,эfs-,неп
вздуть,nэpajsa-,п1
взрослый медведь-самец,jaŋsalan,сущ
взять,zu-,п2
взять в рот (пищу),ačplэ-,неп
взять двумя горстями,pklэl-,п2
вид крохаля,iwris,сущ
вид повседневной обуви,aɬэʔn,сущ
вид толкуши,č'rutx,сущ
вид травы,zwosx сущ; sxom сущ,multiple translations
видеть,ɬčku- п1; əʎčku- п1 с.; əɬčku- п1,multiple translations
видеть сон,rэtla-,неп
видимый,tэpəlaχ прил; tэpəl lэ- неп,multiple translations
визгливо смеяться,č'эxrota-,неп
вилка,č'omqэčχ,сущ
вилы,nэŋэʔɬnom,сущ
висеть,t'эnŋэ- неп; t'эnŋat- неп,multiple translations
висок,t'izimč,сущ
вить,ənkawral-,п1
вкусно есть,čχamɬ-,неп
вкусно очень,kɬč'эwэzэ,нареч
вкусный,č'эwэzlaχ,прил
влагалище,fansx,сущ
влажный,čqlaχ прил; эʎwэʎaχ прил с.,multiple translations
власть,q'эfq'эf,сущ
влево,sič'эŋankэ,нареч
влево (команда собакам),xuwэ,межд
влезать,č'э-,неп
вместе,iwu- неп; kč'эʔɬʔin; omakaŋ нареч; omokom нареч с.,multiple translations
вмещать,č'э-,неп
вмещаться,əzwa-,неп
внести,tэwata-,п2
внешне,kalfsk,нареч
вниз,tnŭm- А; tnŭmkэ нареч,multiple translations
вниз (по течению),ijank,нареч
вниз по течению,fi- неп; эjankэ нареч,multiple translations
внизу,tnŭm- А; tnŭmk нареч,multiple translations
внизу (по течению),ijank,нареч
ю.;,ijank,нареч
вносить,ʷti- п2; tэt- п1,multiple translations
внук,kӑmlon,сущ
внутри,čəsk,нареч
внутрь,čəskэ,нареч
внучка,kӑmlon,сущ
вода,iʔ,сущ
"вода, выступающая поверх льда",эʔrumʔэrum,сущ
водить,ɬэkɬalэw- п1; ɬэnɬalэzoŋ- п1,multiple translations
водичка,iʔaxčaχ,сущ
водка,iʔaxčaχ,сущ
водой обдать,ača-,п1
водопад,xollolač,сущ
воду набирать,tŋəlэt-,п1
воду черпать,tŋil-,неп
воды в рот набирать,iʔnum-,неп
воды глоток,iʔnum,сущ
воды таскать,ikənsfɬ-,неп
водянка (болезнь),iʔэqэn,сущ
водяной,zofsx сущ; ksχzoʔas сущ,multiple translations
водяной чумок,atslaŋ,сущ
воевать,lut'ɬxэ-,неп
вожделение,č'afkranom,сущ
возвещать,ampэlaʔɬ-,неп
возвратное местоимение,uwik,сущ
возвращать,tilwizi- п1; tilwizit- п1,multiple translations
возвращаться,ilwizi- неп; ilwizist- неп; ilwizit- неп; əlizi- неп с.,multiple translations
возвращаться домой,rajt-,неп
возвышать,najasow-,п1
возвышаться,assa-,неп
возвышение,assanom сущ; эfsnom сущ,multiple translations
возвышенное место,эfsnom,сущ
возвышенность,эskp,сущ
возглас облегчения,эfufэ,межд
возглас шамана,iшki,част
воздух,fčifč,сущ
возить,ɬэnɬalэzoŋ- п1; nəntxlaʔɬ- неп; timpɬ- п1; timpɬэt- п1; əntxla- п2; əntxlat- п2,multiple translations
возить дрова,ŋil- неп; ŋinsxэʔɬ- неп; ŋэlxsɬ- неп,multiple translations
возле,olla,предл
возлюбленный,klftэʔan; χэlulan,сущ
возможно,эttun,межд
вознаграждение,iɲčzum,сущ
возражать,ilk'эst-,неп
возьми,tlэ,межд
война,lot'ɬxэnom,сущ
волгнуть,ilэwэ-,неп
волк,xiwnэ,сущ
волна,mumwum,сущ
волноваться,walэʔɬ- неп; krurэw- неп; nitasxэn- неп,multiple translations
волны,walaʔn,сущ
волокна крапивы,stunsx,сущ
волокно,tɬwal,сущ
волос человеческий,k'imk'im,сущ
волосами обрастать,эtɬxtэ-,неп
волочить,stil-,п1
волчок,tənk'эl,сущ
воображать,qamzaʔɲɬ-,неп
"вообще, так",kiɬwi,нареч
вопить,čxča-,неп
вопить дурным голосом,ritwiriwu-,неп
воровать,aɲčxčaŋ-,неп
воровать (о животных),k'эkwiʔɬ-,неп
ворон,χэʔq'ɬx,сущ
ворон старый,fэʔaqɬχ,сущ
ворона,ʷqlaqɬχ,сущ
"воротник бобровый, соболиный",axanom Ю.,сущ
ворочаться,čuxɬ- неп; č'uwiʔɬ- неп,multiple translations
ворчать,ɬэruŋ-,неп
воскресенье,woskresen'e сущ; эzlэnom сущ,multiple translations
воспитывать,txəʔɲɬ-,п1
воспоминание,txэɬnom,сущ
восстание,tэkэjnom,сущ
восток,atxsanŏm,сущ
восточный,atxsanoʔan,прил
восточный язык,бurin,сущ
вот,nux мест; nux нареч,multiple translations
вот неудача!,qэtэwʔin,межд
вот скоро,xaɬč,нареч
вот уж,qaʔtʔin,нареч
вошь,fač'ik,сущ
вперед,kɬfəɲčkэ,нареч
вперед пронести,ənpэskoz-,п1
впереди,kɬfəɲčk,нареч
вплести,tχz-,п1
впрок запасать,ənkaŋɬat-,п1
впрочем,kəʔmxaɬ,союз
враг,χaqэlan,сущ
вредить,aɲčxčaŋ- неп; ɬisxэpi- неп,multiple translations
вредничать,ɬiwэklin- неп; ɬisxэpi- неп,multiple translations
временная сушилка,itэwom,сущ
время,wrэmэ сущ; inxt сущ; xaɬč нареч; эtkuɬ сущ В.,multiple translations
все,tuti,нареч
все время,wod'эrэn,нареч
все же,эwun,нареч
все равно,эwun,нареч
всегда,wod'эrэn нареч с.; wэčno нареч; quʔnэŋэʔn нареч,multiple translations
всей гурьбой,quɲэŋ,нареч
вселенная,atxʔatx сущ; mslэlŋən сущ,multiple translations
всемирный,atxʔatxčan,прил
всесильный,kɬq'эwaŋaʔn,прил
все-таки,эwun,нареч
вскармливать,txəʔɲɬ-,п1
вскрик,učučux межд; эqэqэ межд,multiple translations
вскрывать,əmp'q'a-,п1
вскрываться,əlp-,неп
вслед,salk,нареч
вслух,tэpəl,нареч
всовывать внутрь,tэɬэt-,п1
всплеск рыбы,injinom,сущ
всплескивать,ipəɬqэ-,неп
всплывать на поверхность,ija-,неп
вспоминать,ɬnita- п1; txiɬэt- п2; эnxzo- п1,multiple translations
вспоминая прошлое,imsq'эʔɬki,нареч
вспомнить,txiɬ-,п2
вспрывать брюхо,nanqajp-,п1
вспыльчивый,qэqč'ulaχ,прил
вставать,ŋэlp- неп; tat- неп; tэkэj- неп,multiple translations
вставать дыбом,səŋra-,неп
вставка в рукавице,kinэnlit'in сущ; č'irэwэnəŋ сущ,multiple translations
вставлять,tэɬ-,п1
встать помочь,əntkэʔɬ-,п1
встречать,inf- п2; jawna- п1 с.; čawa- п2,multiple translations
встречать кого-либо,jowa-,п1
встречаться,jawna- неп с.; luwnэ- неп,multiple translations
всходить,isxu- неп; эs- неп,multiple translations
всякий,ʎэɲiɬʔan прил; mniɬʔan мест; fsakoj прил,multiple translations
имущество,warnaʔn,сущ
вталкивать,ʷti-,п1
втаскивать,ʷti- п2; tэt- п1,multiple translations
вторник,wtornik,сущ
второй,t'ilŋin,прил
второпях,amsanэq,нареч
второпях сварить,ənfajwazo-,п1
втыкать,əmpɬi- п1; ənsxpɬ- п1,multiple translations
вулкан,aigitэskik сущ Ю.; apagačuč' сущ В.; wijakazač сущ Ю.; paakčix сущ Ю.,multiple translations
вход,č'эnom,сущ
вход в запор,xč'эs,сущ
входить,č'э- неп; č'эt- п1; č'эtit- неп,multiple translations
вчера,ačiɲčk нареч; fčora нареч,multiple translations
вчерашний,ačiɲč'an,прил
вшей искать,iɲɬ-,п1
вы,tuzaʔn,мест
вы сами,tzilwin,мест
выбивать пыль,tpəlzot-,п1
выбиваться из сил,wat- неп; watsxэn- неп,multiple translations
выбирать,inčil- п2; inčilэʔɬ- неп; čil- п2; čilit- п2,multiple translations
выборы,wɨбoraʔn,сущ
выбрасывать,tkil- п1; tkillэt- п1; tkэtzo- п1; ənt'lэʔɬ- п1; ənxərkэ- п1,multiple translations
выбрать,čэlata-,п2
вываливаться,kɬf-,неп
выветриться,sqaso-,неп
вывихнуть,lopləmzo- п1; lopləmzotə- п1,multiple translations
выворачивать наизнанку,tl- п1; tlэt- п1,multiple translations
выглядывать,tənza- неп; tənzat- неп,multiple translations
выговаривать слова,əllat-,п1
выгонять,ajtat- п1; ajtatэt- п1,multiple translations
выгонять комаров из дома,oropla-,п1
выгорать,atxsat-,неп
выгружать,əmp-,п1
выгружать(ся),niŋiʔɬ-,неп
выдавать замуж,ɬinqamzant-,п1
выдать,lawata-,п2
выделанная оленья кожа,č'iraqəl,сущ
выделение из ушей,aʔlot,сущ
выделения глазные,əɬč'эrwaʔn,сущ
выделкой шкур заниматься,ʷnaɬэʔɬ-,неп
выделывать шкуру,naɬ- п1; pl- п1; plэʔɬ- неп,multiple translations
выделяться,ɬwaɬtэ-,неп
выдерживать,č'laʔ-,п1
выдра,widrэʔ сущ; ŋэɬэŋɬx сущ; əɲɬiŋ сущ с.,multiple translations
выдумывать,ʷk'эnэzi- п1; txiɬэt- п2,multiple translations
выздоравливать,qэčisi- неп; qэčisit- неп; mэlэ- неп,multiple translations
выздороветь,xsozalэ-,неп
вызывать,oč'-,п1
на откровенность,ɬinpanэnajpa-,п1
вызывающий жажду,ik'sxulaχ,прил
выигрывать,inэwэtэ- неп; inэwэtэt- неп; əɲčxča- п1,multiple translations
выколачивать,tpəlzot-,п1
выкоывать,txɬэt-,п1
выкрасить в красное,əɲč'ač'ala-,п1
выкройка,anmanom сущ; ɬэlэnŏm сущ,multiple translations
вылезать,эs-,неп
вылечить,ənmэl-,п1
выливать,ins-,п1
вылизывать,tomэt- п1; č'mil- п1,multiple translations
вымазаться,anza-,неп
вымазываться многократно,anzazo-,неп
выметать,mali-,п1
вымокнуть в воде,txanэ-,неп
вымыть,ləm-,п1
вынимать,əntxs- п1; əntxsit- п1,multiple translations
выносить,tiŋ-,п1
выносить наружу,tin-,п1
вынырнуть,ija-,неп
выпадать,kɬf- неп; lэʔlэmti- неп,multiple translations
выпачкать,anza-,п1
выпачкаться,anza-,неп
выплевывать,iɬxэɲčkэ-,п1
выполнять,sk-,п1
выправлять вывихнутый сустав,anzwa-,п1
выпрыгивать,twajt-,неп
выпрямлять,ənwэtwaw-,п1
выпрямляться,wэtwэt-,неп
выпускать,ənksi- п1; ənqsit- п1,multiple translations
выработать,wэtat-,п1
выравнивать,ənwэtwaw-,п1
вырастать,эsχtэ-,неп
выращивать,ənsχt-,п1
вырываться,qsi-,неп
высаживаться,эnэsэ-,неп
высасывать кровь,č'isxuŋ-,п1
высекать огонь,эʔŋlэt-,неп
выслеживать,ɬinɬkzэ- п1; ɬiɲɬkz- п1,multiple translations
высматриваться,ɬčkust-,п1
высмеивать,ɬiŋwэju iɬ- п1; ɬiŋ iɬ- п1,multiple translations
высокий,aslaχ,прил
высокий берег,iʔɲɬəm,сущ
высоко,asq,нареч
высокое место,asʔas,сущ
обзором,twэstэwnom,сущ
высота,asaran сущ; aswarwan сущ; asʔas сущ,multiple translations
выспаться,nэpэlxo-,неп
выставка,wɨstawkaʔ,сущ
выставлять,tin-,п1
выстрелить,əɲčqa-,п1
высушенные стебли,katx,сущ
высыпать,ins- п1; əɲčxэŋ- п1,multiple translations
высыпаться,itnэ- неп; čxiŋ- неп,multiple translations
высыхать,k'isxɬэt-,неп
высыхать сильно,k'isxɬni-,неп
вытапливать жир,fč'эz-,п1
вытапливаться,in-,неп
вытаскивать,txuŋ- п1 ю.; tin- п1; ənts- п1 с.; əntxs- п1; əntxsit- п1,multiple translations
выташнивать,wolwos-,п1
вытворять,č'эl-,п2
вытекать,эs-,неп
вытирать,anɬxaɬ- неп; ɬxa- п1; ɬxazo- п1; ɬxat- п1,multiple translations
вытираться,ɬxazo-,неп
вытопки жира,fč'эs,сущ
вытряхивать,ɬintplэ- п1; ɬintplэt- п1; ɬэntplэzo- п1,multiple translations
выть,awla-,неп
вытягивать,txuŋ- неп ю.; txuŋэt- п1,multiple translations
вытягиваться,sxoŋ-,неп
вытянуть руки,ənamčэtə-,п1
вытянуться,pla- неп; χamtzi- неп,multiple translations
выхватывать,pxakɬ-,неп
выход,χomstnŏm,сущ
выходить,χumst- неп; эs- неп,multiple translations
выходить замуж,qamzantэ- неп; qamzantэt- неп,multiple translations
выходить из себя,χaqanʔэ- неп; χaqэni- неп с.,multiple translations
выходить многократно,xomstat-,неп
выходить на берег,ip- неп; ipit- неп,multiple translations
выходить на лед,эʔrma-,неп
выходить на поверхность,эsat-,неп
выходить навстречу,čawa-,п2
выходить наружу,xomstat-,неп
выцветать,atx- неп; atxsat- неп,multiple translations
выше,xaɲčkэ,нареч
вышивать,waŋэ- п1; waŋэʔɬ- неп,multiple translations
вышивка,waŋэč,сущ
